,FLARE_TYPE,COINCIDENCE,MEANGBZ_1,MEANGBZ_2,MEANGBZ_3,MEANGBZ_4,MEANGBZ_5
2026,N,False,114.38,112.83,112.36,111.6,111.2
2027,N,False,136.32,135.03,135.6,131.06,130.05
2028,N,False,127.53,127.41,127.49,125.67,124.39
2029,N,False,104.16,102.75,101.99,101.27,101.18
2030,N,False,123.5,123.38,126.06,127.64,130.31
2031,N,False,82.528,84.799,83.718,84.319,86.5
2032,N,False,109.9,109.47,109.81,109.56,109.63
2033,N,False,91.5,91.637,91.213,89.563,89.536
2034,N,False,152.79,158.61,156.74,158.71,158.69
2035,N,False,149.35,146.99,149.46,148.52,145.78
2036,N,False,92.016,92.017,94.034,90.839,90.971
2037,N,False,144.17,149.42,149.42,150.92,147.91
2038,N,False,145.01,148.33,148.14,161.43,155.83
2039,N,False,121.78,119.83,118.56,118.37,117.09
2040,N,False,140.55,138.29,141.76,148.26,150.75
2041,N,False,161.3,161.34,158.14,151.31,154.85
2042,N,False,102.53,102.65,102.99,103.04,103.14
2043,N,False,94.47,95.973,95.771,94.634,94.47
2044,N,False,135.64,137.89,140.38,144.86,146.55
2045,N,False,73.207,72.973,73.312,74.008,76.759
2046,N,False,166.41,145.62,120.42,93.049,93.513
2047,N,False,140.96,139.68,141.68,139.46,142.4
2048,N,False,134.04,136.04,137.87,138.08,137.42
2049,N,False,143.06,140.63,141.91,143.3,144.71
2050,N,False,133.95,132.29,129.7,132.92,132.3
2051,N,False,112.14,112.49,112.92,113.26,113.41
2052,N,False,140.24,131.58,135.46,138.99,141.64
2053,N,False,124.42,126.05,127.28,128.24,129.19
2054,N,False,85.285,86.341,86.168,86.328,85.545
2055,N,False,109.64,111.16,112.05,113.79,114.16
2056,N,False,132.91,131.5,133.98,135.6,135.0
2057,N,False,173.61,181.63,183.91,175.92,181.57
2058,N,False,134.34,133.94,134.52,136.94,134.8
2059,N,False,147.67,149.22,153.28,146.78,162.33
2060,N,False,91.907,91.835,92.491,92.637,93.11
2061,N,False,94.476,93.75,93.611,94.113,93.968
2062,N,False,128.9,130.07,129.08,127.87,129.41
2063,N,False,88.345,87.824,87.721,87.394,87.23
2064,N,False,127.48,125.11,125.02,122.69,124.91
2065,N,False,121.87,122.08,123.32,123.6,123.43
2066,N,False,101.96,103.42,103.19,104.74,103.45
2067,N,False,96.29,95.638,94.771,92.656,94.505
2068,N,False,131.88,133.67,140.11,143.73,146.95
2069,N,False,97.715,98.549,97.364,98.398,98.125
2070,N,False,144.81,141.49,142.68,144.27,144.41
2071,N,False,118.02,117.14,117.86,120.62,119.62
2072,N,False,120.61,120.95,121.63,121.47,124.6
2073,N,False,119.36,125.39,113.33,117.67,121.78
2074,N,False,130.77,133.08,133.79,132.51,130.29
2075,N,False,113.17,112.99,115.67,113.52,113.17
2076,N,False,128.85,128.3,124.93,122.96,119.9
2077,N,False,157.1,163.62,167.97,163.21,160.68
2078,N,False,155.88,164.66,164.54,166.79,162.85
2079,N,False,123.39,125.6,125.8,126.85,125.67
2080,N,False,132.48,132.06,128.7,0.0,0.0
2081,N,False,132.31,131.5,130.17,130.02,128.58
2082,N,False,131.48,130.48,129.24,130.1,130.59
2083,N,False,113.35,112.58,113.81,113.18,113.51
2084,N,False,110.25,108.73,108.96,108.53,109.57
2085,N,False,100.49,98.399,98.328,96.381,97.42
2086,N,False,105.28,107.0,107.5,110.68,112.06
2087,N,False,136.32,140.51,138.25,136.14,137.11
2088,N,False,120.27,121.98,119.94,117.22,120.25
2089,N,False,102.68,102.76,103.12,102.46,101.87
