,FLARE_TYPE,COINCIDENCE,TOTPOT_1,TOTPOT_2,TOTPOT_3,TOTPOT_4,TOTPOT_5
692,C,True,0.0,0.0,0.0,0.0,0.0
693,C,False,1.0604e+23,1.0683e+23,1.0557e+23,1.0539e+23,1.0513e+23
694,C,False,3.8184e+23,3.8254e+23,3.8092e+23,3.8438e+23,3.7833e+23
695,C,False,9.6532e+21,9.9762e+21,1.0147e+22,1.0467e+22,1.067e+22
696,C,False,8.2791e+23,8.2923e+23,8.3219e+23,8.2648e+23,8.2516e+23
697,C,False,1.2928e+23,1.3063e+23,1.2973e+23,1.2854e+23,1.2846e+23
698,C,False,7.7006e+22,7.7199e+22,7.7215e+22,7.8872e+22,8.0569e+22
699,C,False,2.5723e+23,2.5775e+23,2.5691e+23,2.5856e+23,2.6071e+23
700,C,False,1.8863e+22,1.8634e+22,1.8697e+22,1.8354e+22,1.8287e+22
701,C,False,1.2359e+23,1.1801e+23,1.1776e+23,1.1545e+23,1.133e+23
702,C,True,5.4228e+22,5.5673e+22,5.6332e+22,4.5553e+22,4.6186e+22
703,C,False,8.875e+23,8.8906e+23,8.8795e+23,8.9002e+23,8.8808e+23
704,C,False,4.6831e+22,4.8562e+22,4.8463e+22,4.6083e+22,3.7263e+22
705,C,False,7.0862e+23,7.0844e+23,7.067e+23,7.0555e+23,7.0609e+23
706,C,False,3.4775e+23,3.4879e+23,3.7035e+23,3.489e+23,3.5029e+23
707,C,False,3.4795e+22,3.4585e+22,3.5169e+22,3.3926e+22,3.3819e+22
708,C,False,2.8724e+23,2.8864e+23,2.8943e+23,2.9057e+23,2.8881e+23
709,C,False,2.3731e+22,2.3559e+22,2.3525e+22,2.3575e+22,2.3105e+22
710,C,True,2.9103e+23,2.9051e+23,2.9153e+23,2.8944e+23,2.8947e+23
711,C,False,1.7513e+23,1.5793e+23,1.6166e+23,1.9303e+23,1.7666e+23
712,C,False,9.8036e+23,9.7624e+23,9.7368e+23,9.7704e+23,9.8043e+23
713,C,False,5.6913e+23,5.6964e+23,5.715e+23,5.7376e+23,5.7825e+23
714,C,False,4.2703e+23,4.2849e+23,4.2917e+23,4.3003e+23,4.282e+23
715,C,False,2.9118e+23,2.9275e+23,2.9227e+23,2.8878e+23,2.8602e+23
716,C,False,3.2996e+23,3.302e+23,3.2839e+23,3.2904e+23,3.2443e+23
