,FLARE_TYPE,COINCIDENCE,g_s_1,g_s_2,g_s_3,g_s_4,g_s_5
485,M,True,9019.4,8621.1,9170.4,9286.5,10443.0
486,M,False,87417.0,82331.0,103100.0,105360.0,101370.0
487,M,True,308750.0,279810.0,266600.0,258750.0,306350.0
488,M,True,71205.0,74299.0,85189.0,78029.0,80419.0
489,M,False,37641.0,41520.0,41357.0,39710.0,40859.0
490,M,False,128360.0,107140.0,85614.0,82987.0,87840.0
491,M,False,3977.9,4023.8,4073.2,5143.4,4159.5
492,M,False,54032.0,49245.0,57835.0,53309.0,49271.0
493,M,False,50724.0,53027.0,49236.0,46420.0,46858.0
494,M,False,4229.2,5149.3,4483.4,3946.8,4220.5
495,M,False,17409.0,18762.0,16937.0,16150.0,16338.0
496,M,False,0.0,19038.0,13076.0,0.0,17404.0
497,M,True,16177.0,15138.0,15810.0,15654.0,12557.0
498,M,False,14263.0,14216.0,12762.0,11715.0,11917.0
499,M,False,14187.0,17359.0,16523.0,16346.0,17696.0
500,M,False,6419.3,9769.8,6782.2,9726.0,10427.0
501,M,False,3026.9,2742.7,2148.6,2013.4,2023.2
502,M,False,0.0,2190.8,0.0,0.0,0.0
503,M,False,0.0,0.0,0.0,0.0,0.0
504,M,False,0.0,0.0,1071.7,0.0,0.0
505,M,False,4527.0,505.29,9733.6,40442.0,9587.7
506,M,False,25734.0,17646.0,14039.0,17774.0,20860.0
507,M,True,2355.2,2736.6,2443.1,2547.1,2685.9
508,M,False,14337.0,13218.0,17449.0,10600.0,10448.0
509,M,True,9801.8,10856.0,10111.0,7888.1,7738.6
510,M,True,31040.0,31494.0,41555.0,38875.0,31441.0
511,M,False,28130.0,30096.0,28184.0,32091.0,32757.0
512,M,True,36433.0,41500.0,43934.0,42595.0,41356.0
513,M,True,81198.0,79421.0,83969.0,82131.0,84505.0
514,M,False,82131.0,84505.0,79727.0,81779.0,65156.0
515,M,False,80987.0,81604.0,74059.0,74027.0,66875.0
516,M,False,67491.0,67782.0,101720.0,103480.0,81169.0
517,M,False,96459.0,72664.0,101070.0,75782.0,82581.0
518,M,False,99893.0,96198.0,103680.0,97711.0,109560.0
519,M,True,76233.0,68827.0,76399.0,74236.0,75543.0
520,M,True,50068.0,51543.0,52536.0,47709.0,54019.0
521,M,False,32556.0,35448.0,38799.0,35422.0,35327.0
522,M,False,17328.0,19610.0,19051.0,21075.0,20748.0
523,M,False,8011.0,7875.7,8196.4,7886.5,7713.9
524,M,False,23024.0,12307.0,8907.5,13583.0,22383.0
525,M,True,0.0,0.0,0.0,0.0,0.0
526,M,True,57.013,61.502,87.581,118.33,121.81
527,M,False,134.12,150.96,165.6,168.5,157.55
528,M,False,168.24,215.65,152.52,155.78,133.59
529,M,False,275.13,271.58,228.67,166.22,206.89
530,M,False,6177.9,3971.2,3940.5,1561.3,4693.8
531,M,True,24742.0,24674.0,24075.0,26356.0,23716.0
532,M,False,21744.0,21889.0,21871.0,21160.0,22220.0
533,M,False,36300.0,41638.0,43699.0,43910.0,45278.0
534,M,True,3152.2,3409.1,2889.5,3177.1,4043.0
535,M,False,26014.0,30210.0,42971.0,47633.0,28939.0
536,M,False,0.0,0.0,0.0,0.0,0.0
537,M,False,24178.0,25766.0,27697.0,26681.0,31559.0
538,M,True,137510.0,133390.0,128090.0,122930.0,139130.0
539,M,False,140570.0,142550.0,119800.0,115320.0,108710.0
540,M,False,120440.0,113800.0,126360.0,146520.0,125130.0
541,M,True,7768.1,8101.8,7976.9,9687.5,9442.1
542,M,False,4918.5,3467.1,4853.3,4810.6,3552.5
543,M,False,79356.0,87450.0,111000.0,101430.0,98376.0
544,M,False,39824.0,39151.0,30036.0,36443.0,39718.0
545,M,False,4504.7,3828.8,10420.0,2221.4,0.0
546,M,True,575.21,886.79,917.04,869.78,840.65
547,M,False,12494.0,12244.0,12582.0,11854.0,12833.0
548,M,True,5747.8,6370.6,7367.3,8632.5,8087.8
549,M,True,9683.9,9873.7,10988.0,9074.4,11460.0
550,M,False,19674.0,17849.0,19242.0,19588.0,20644.0
551,M,True,37229.0,38499.0,38150.0,39578.0,37420.0
552,M,False,42662.0,38500.0,37426.0,49818.0,51635.0
553,M,True,93157.0,72586.0,79922.0,74262.0,77713.0
554,M,False,110950.0,95952.0,108510.0,105940.0,106220.0
555,M,False,82087.0,76543.0,83354.0,77357.0,75636.0
556,M,True,77387.0,67725.0,86562.0,82042.0,77956.0
557,M,False,39033.0,39002.0,37351.0,36803.0,40448.0
558,M,False,8154.9,9365.7,5302.4,6340.2,7456.6
559,M,False,14035.0,16022.0,15921.0,16413.0,15329.0
560,M,False,4596.5,4513.1,4642.7,4773.2,4630.5
561,M,True,72271.0,65188.0,64708.0,58518.0,57856.0
562,M,True,57308.0,51125.0,54445.0,48886.0,51735.0
563,M,True,897.16,871.87,857.19,869.65,905.43
564,M,True,52411.0,59519.0,59787.0,55917.0,54661.0
565,M,True,57983.0,63619.0,60491.0,60158.0,63969.0
566,M,False,59998.0,63614.0,56966.0,63288.0,62082.0
567,M,True,1917.3,2015.4,2193.9,2186.5,2369.8
568,M,True,61466.0,64066.0,63325.0,66228.0,59896.0
569,M,False,77648.0,76411.0,75524.0,80066.0,86531.0
570,M,False,2459.6,3199.7,2506.2,2726.9,2760.0
571,M,False,86531.0,80539.0,75077.0,81466.0,80811.0
572,M,False,80811.0,83422.0,72007.0,64666.0,68837.0
573,M,False,3020.9,2563.8,2494.1,2396.0,2371.6
574,M,True,70911.0,80842.0,71794.0,76123.0,78061.0
575,M,True,89587.0,92523.0,87091.0,97116.0,66471.0
576,M,False,101390.0,109800.0,93510.0,90210.0,92481.0
577,M,True,102030.0,106230.0,100880.0,105790.0,116060.0
578,M,True,100500.0,87325.0,88155.0,87446.0,93975.0
579,M,True,43801.0,47198.0,53466.0,57510.0,62790.0
580,M,False,22966.0,22476.0,20662.0,22051.0,23674.0
581,M,False,24384.0,22923.0,24051.0,21341.0,19439.0
582,M,False,30644.0,20812.0,38225.0,34764.0,35227.0
583,M,True,0.0,0.0,115.21,0.0,0.0
584,M,False,2099.7,2117.4,1140.2,1095.9,0.0
585,M,True,18686.0,12122.0,25801.0,20157.0,9604.6
586,M,False,25801.0,20157.0,9604.6,2790.9,503.86
587,M,False,16563.0,14911.0,16214.0,15885.0,13165.0
588,M,True,8287.7,7285.6,7021.3,4627.5,3750.1
589,M,False,5681.9,5832.2,6254.0,5962.1,6463.8
590,M,False,22969.0,23375.0,22441.0,22697.0,22473.0
591,M,False,2829.9,3184.5,3274.1,3078.7,3371.2
592,M,False,9159.9,6301.6,7825.9,736.82,1767.3
593,M,False,26263.0,26611.0,31603.0,30339.0,26681.0
594,M,False,0.0,0.0,0.0,320.92,0.0
595,M,False,7017.2,7139.9,8519.0,7417.7,8057.3
596,M,False,28149.0,29185.0,31360.0,30846.0,29310.0
597,M,True,45148.0,38055.0,38227.0,41497.0,39899.0
598,M,False,47837.0,43689.0,40721.0,41790.0,48243.0
599,M,False,9442.0,9588.9,9348.3,6879.6,6815.5
600,M,True,60530.0,43139.0,44265.0,44663.0,62392.0
601,M,False,62392.0,59204.0,51329.0,50427.0,43730.0
602,M,True,9131.0,8852.8,8766.3,8540.5,9135.1
