,FLARE_TYPE,COINCIDENCE,MEANGBT_1,MEANGBT_2,MEANGBT_3,MEANGBT_4,MEANGBT_5
934,B,True,118.02,117.8,115.7,114.32,112.1
935,B,False,168.02,167.33,151.63,156.15,154.49
936,B,False,92.203,92.006,94.246,94.504,96.053
937,B,False,104.18,103.27,102.92,102.34,101.69
938,B,True,65.939,66.359,64.17,64.282,63.775
939,B,False,130.78,128.52,129.34,129.54,129.8
940,B,False,133.8,130.59,134.67,139.67,142.56
941,B,False,116.91,118.42,117.89,117.43,115.71
942,B,False,134.98,136.7,137.49,137.86,138.57
943,B,True,45.661,47.411,46.786,46.278,44.433
944,B,False,102.41,105.73,107.61,111.3,111.78
945,B,True,140.55,138.34,136.98,135.84,133.07
946,B,False,120.83,119.12,117.62,118.64,120.08
947,B,True,124.24,122.44,123.12,122.68,118.96
948,B,False,113.61,115.09,114.2,113.41,114.38
949,B,False,145.72,143.26,142.81,137.32,134.23
950,B,False,124.62,123.48,121.95,122.06,122.29
951,B,True,108.2,109.69,111.81,113.44,114.37
952,B,True,82.718,83.008,83.566,83.199,82.899
953,B,False,67.001,67.706,67.457,66.891,67.115
954,B,False,78.205,78.878,79.332,79.283,80.434
955,B,False,95.459,95.974,94.875,95.081,95.414
956,B,False,71.673,71.709,71.651,71.845,73.125
957,B,True,97.93,99.032,99.925,98.162,99.54
958,B,True,105.83,107.1,107.0,106.72,107.16
959,B,False,45.425,49.442,48.396,49.655,47.982
960,B,True,0.0,0.0,0.0,0.0,0.0
961,B,False,110.29,110.1,110.24,112.07,114.41
962,B,True,123.6,122.61,124.09,124.4,124.94
963,B,True,113.91,112.44,111.36,110.37,109.89
964,B,False,63.736,61.731,59.952,62.954,63.791
965,B,True,81.34,81.668,82.789,82.169,80.647
966,B,True,117.41,114.6,117.09,119.38,117.06
967,B,True,102.3,104.79,105.79,108.0,108.92
968,B,True,63.035,56.824,64.867,54.255,62.309
969,B,False,120.71,120.67,128.79,125.87,136.03
970,B,False,50.956,53.754,53.407,54.203,51.693
971,B,True,124.96,119.2,113.77,113.03,110.77
972,B,False,114.88,115.55,114.9,114.54,115.39
973,B,False,106.53,106.16,103.51,103.21,102.91
974,B,False,109.52,110.85,107.86,107.32,108.57
975,B,True,88.777,86.502,87.097,87.428,88.212
976,B,True,74.142,74.642,74.431,75.08,76.426
977,B,False,93.603,93.827,95.454,95.079,96.435
978,B,False,45.403,44.523,43.697,44.142,44.711
979,B,False,48.875,48.129,46.46,49.635,46.768
980,B,True,136.35,133.6,132.89,133.68,132.95
981,B,False,129.66,133.85,128.22,132.69,129.01
982,B,False,102.86,106.5,116.57,120.73,121.34
983,B,False,89.097,87.192,85.544,85.395,86.666
984,B,True,58.439,58.433,58.526,59.647,59.275
985,B,False,99.231,100.04,101.34,101.06,100.81
986,B,False,77.663,78.084,77.752,77.58,77.041
987,B,True,132.99,133.02,133.89,131.12,127.53
988,B,True,128.27,131.26,135.51,137.68,143.34
989,B,False,104.24,105.41,105.62,105.33,105.41
