,FLARE_TYPE,COINCIDENCE,TOTUSJH_1,TOTUSJH_2,TOTUSJH_3,TOTUSJH_4,TOTUSJH_5
1794,B,False,105.78,108.12,102.89,107.91,105.21
1795,B,False,87.644,90.426,88.313,84.771,82.792
1796,B,False,553.75,565.06,567.75,562.38,557.83
1797,B,False,593.69,578.0,593.0,603.12,644.78
1798,B,True,217.79,210.1,212.77,211.1,215.9
1799,B,False,529.16,531.46,518.85,514.11,520.77
1800,B,False,110.5,107.91,104.98,101.97,104.89
1801,B,False,427.34,439.24,436.94,438.66,444.97
1802,B,False,165.56,170.42,162.89,171.22,171.77
1803,B,False,255.63,271.61,287.29,305.38,331.77
1804,B,False,422.05,424.73,430.16,439.61,430.66
1805,B,False,449.03,449.3,445.89,435.45,434.21
1806,B,False,529.0,525.81,514.56,527.87,521.53
1807,B,False,289.41,296.68,272.58,270.71,287.62
1808,B,False,116.29,108.42,114.97,109.93,108.61
1809,B,False,683.27,681.95,685.33,702.98,703.67
1810,B,False,321.77,330.5,324.29,330.54,312.11
1811,B,False,246.26,236.27,244.94,247.41,244.15
1812,B,False,176.96,178.75,194.86,187.62,207.06
1813,B,False,161.53,167.96,175.6,187.42,186.43
1814,B,False,127.11,118.65,101.99,95.094,97.368
1815,B,False,85.075,87.317,81.344,83.14,79.651
1816,B,False,656.67,651.79,649.68,672.76,674.0
1817,B,False,307.41,309.19,319.23,324.24,323.17
1818,B,False,219.49,227.64,226.83,238.02,238.23
1819,B,False,915.46,915.32,930.27,923.15,945.38
1820,B,True,912.91,883.82,906.37,864.84,874.31
1821,B,False,1119.8,1128.1,1130.7,1116.1,1121.5
1822,B,False,1156.0,1171.6,1117.7,1084.1,1138.7
1823,B,False,856.95,855.97,863.9,858.27,867.47
1824,B,False,251.81,252.49,244.88,244.63,247.55
1825,B,False,201.93,206.63,206.37,202.14,204.67
1826,B,False,376.86,368.28,370.79,369.6,382.24
1827,B,False,465.25,472.66,471.25,472.36,470.59
1828,B,False,813.75,801.86,802.51,776.86,782.22
1829,B,False,205.46,201.12,199.36,211.3,203.08
1830,B,False,541.61,553.86,539.43,555.09,569.91
1831,B,False,394.75,399.77,390.18,396.98,408.1
1832,B,False,420.69,420.23,421.68,426.96,421.79
1833,B,False,505.67,513.84,505.09,506.6,504.09
1834,B,False,527.39,541.64,522.57,519.85,502.89
1835,B,False,477.17,479.19,480.73,484.72,486.61
1836,B,False,226.52,228.13,231.64,228.54,220.84
1837,B,False,1034.7,1043.2,1044.8,1033.2,1055.6
1838,B,False,231.9,228.04,224.75,229.84,234.09
1839,B,False,679.84,678.88,681.65,736.3,726.03
1840,B,False,1283.3,1277.7,1231.8,1220.6,1200.5
1841,B,False,1305.1,1323.1,1311.3,1301.7,1283.9
1842,B,False,833.82,826.35,843.24,836.84,815.21
1843,B,False,523.23,519.19,510.3,503.09,512.92
1844,B,False,109.09,116.44,112.28,113.71,114.17
1845,B,False,438.96,435.71,443.71,469.53,480.26
1846,B,False,388.34,387.34,393.41,390.55,387.71
1847,B,False,573.06,573.15,575.39,571.93,558.13
1848,B,False,655.36,679.15,674.38,700.28,715.69
1849,B,False,415.69,425.21,464.87,480.09,502.8
1850,B,False,191.25,198.03,199.18,200.34,199.19
1851,B,False,347.73,343.63,350.37,353.88,354.99
1852,B,False,636.99,608.87,603.57,607.65,593.69
1853,B,False,551.7,588.49,605.22,614.58,626.12
1854,B,False,316.01,311.67,320.46,325.84,330.24
1855,B,False,641.41,653.14,656.72,652.62,650.51
1856,B,False,232.19,230.0,236.06,233.87,236.23
1857,B,False,685.28,698.78,695.44,695.92,714.47
1858,B,False,92.057,95.335,92.717,90.875,87.856
1859,B,False,751.51,753.96,771.91,767.89,779.13
1860,B,False,763.68,774.07,773.95,780.33,777.6
1861,B,False,254.92,246.01,247.83,247.86,241.48
1862,B,False,352.95,346.74,343.84,341.57,336.5
1863,B,False,1237.2,1220.2,1221.3,1223.6,1225.6
1864,B,False,499.82,492.06,484.74,485.97,488.62
1865,B,False,771.92,783.47,793.09,789.67,784.52
1866,B,False,391.11,395.13,395.58,405.13,422.75
1867,B,False,0.088181,0.24016,0.06187,0.0,0.65798
1868,B,False,301.61,298.69,296.36,310.25,312.32
1869,B,False,228.79,225.15,213.7,209.56,210.7
1870,B,False,828.51,834.33,837.39,843.34,839.35
1871,B,False,301.32,299.34,295.54,296.62,298.59
1872,B,False,515.91,525.43,538.98,547.3,559.94
1873,B,False,811.36,782.36,781.17,772.95,783.79
1874,B,False,283.76,267.66,264.66,263.28,261.83
1875,B,False,285.72,282.82,278.14,278.43,288.81
1876,B,False,677.52,698.45,709.43,710.49,727.47
1877,B,False,1930.1,1953.3,1960.5,1947.6,1950.0
1878,B,False,497.36,601.06,569.62,512.13,516.45
1879,B,False,942.98,958.81,954.06,951.65,970.07
1880,B,False,526.94,506.44,501.54,499.68,509.0
1881,B,False,216.49,170.09,168.64,176.78,175.3
1882,B,False,113.99,113.23,108.31,111.73,107.06
1883,B,False,164.45,160.5,153.16,159.39,159.79
