,FLARE_TYPE,COINCIDENCE,MEANJZH_1,MEANJZH_2,MEANJZH_3,MEANJZH_4,MEANJZH_5
2114,N,False,0.006455,0.006402,0.0018321,0.0064688,0.0063058
2115,N,False,-0.01499,-0.013795,-0.016857,-0.017034,-0.013441
2116,N,False,0.00055307,0.00014235,-0.0011562,-0.0011042,-0.0018006
2117,N,False,0.0035023,0.0037752,0.0041969,0.0038693,0.0029515
2118,N,False,-0.0023514,-0.0020774,-0.0032,-0.002491,-0.0022684
2119,N,False,0.015093,0.015092,0.014189,0.01283,0.012681
2120,N,False,0.004173,0.004491,0.0044998,0.0046687,0.0048016
2121,N,False,-0.004026,-0.004233,-0.0039125,-0.003962,-0.0047992
2122,N,False,0.00068332,0.0010164,0.0014116,0.001928,0.0012068
2123,N,False,0.0066334,0.0073523,0.0051118,0.0053506,0.0047475
2124,N,False,-8.5532e-05,-0.0011092,-0.00097195,-0.00078051,-0.001009
2125,N,False,-0.0044271,-0.003773,-0.0041641,-0.0052537,-0.0042785
2126,N,False,-0.0016085,0.001005,0.001346,0.0020135,0.0045619
2127,N,False,0.0052923,0.0044429,0.0055557,0.0056303,0.0068984
2128,N,False,-0.0005923,-0.00020442,-0.00014921,0.00087573,-0.00043695
2129,N,False,0.00070705,-0.0012292,0.0020045,-0.0024122,-0.0017702
2130,N,False,0.021217,0.020944,0.02085,0.020396,0.020892
2131,N,False,-0.0012267,3.0753e-05,-0.00020733,-0.00034562,-0.00085466
2132,N,False,0.0052666,0.0054766,0.0062041,0.0051766,0.0051813
2133,N,False,0.0023676,0.0034008,0.001421,0.00099563,0.00051605
2134,N,False,0.0056016,0.0073466,0.0060474,0.0064016,0.0067523
2135,N,False,0.011647,0.011715,0.012234,0.01161,0.011342
2136,N,False,-0.0057302,-0.0057486,-0.004115,-0.0057053,-0.0066105
2137,N,False,-0.00093551,-0.0012011,-0.0023014,-0.0019335,-0.0042936
2138,N,False,0.010158,0.0083467,0.0099782,0.0097377,0.0081007
2139,N,False,-0.011633,-0.012289,-0.0099538,-0.011218,-0.011221
2140,N,False,-0.00081681,-0.0015077,-0.00043608,-0.0017914,-0.0010043
2141,N,False,0.00033125,-9.5273e-05,0.0013962,-0.0013879,0.00021115
2142,N,False,-0.0038993,-0.0046874,-0.0036249,-0.0034936,-0.0030701
2143,N,False,-0.0033467,-0.0066154,-0.0070148,-0.004976,-0.0040316
2144,N,False,-0.005945,-0.0071373,-0.0062412,-0.0052445,-0.0063253
2145,N,False,-0.015291,-0.015695,-0.016001,-0.01235,-0.010331
2146,N,False,0.0073166,0.0077887,0.0072775,0.007134,0.0075782
2147,N,False,0.0025678,0.0031643,0.0044862,0.0048888,0.0049952
