,FLARE_TYPE,COINCIDENCE,ABSNJZH_1,AREA_ACR_1,MEANGAM_1,MEANGBH_1,MEANGBT_1,MEANGBZ_1,MEANJZD_1,MEANJZH_1,MEANPOT_1,MEANSHR_1,R_VALUE_1,SAVNCPP_1,SHRGT45_1,TOTPOT_1,TOTUSJH_1,TOTUSJZ_1,USFLUX_1,d_l_f_1,g_s_1,slf_1
79,M,False,,,,,,,,,,,,,,,,,,,,
80,M,False,,,,,,,,,,,,,,,,,,,,
81,M,False,,,,,,,,,,,,,,,,,,,,
82,M,False,,,,,,,,,,,,,,,,,,,,
83,M,False,,,,,,,,,,,,,,,,,,,,
84,M,True,105.34279999999998,1336.92,59.5566,66.77439999999999,91.6488,97.52420000000001,0.24633,0.0020504999999999994,12720.8,51.3658,4.8702,6570780000000.0,57.271,8.687580000000001e+23,2845.0,58727600000000.0,2.9360399999999997e+22,212.752,67192.6,9.323920000000001
85,M,False,47.424800000000005,1359.76,59.355399999999996,69.27239999999999,94.95239999999998,102.28800000000001,0.31965,0.000941312,13418.6,51.248599999999996,4.9259,8341900000000.0,56.8626,8.975e+23,3033.96,61972600000000.0,2.97332e+22,220.22599999999997,68818.6,9.650360000000001
86,M,False,77.4478,1592.34,54.101,64.8538,97.6316,106.91399999999999,0.15035400000000002,0.001357186,14263.2,47.4794,4.9442,4447500000000.0,50.8792,1.0785600000000001e+24,3510.4200000000005,67135200000000.0,3.8732000000000005e+22,253.42799999999997,69827.6,10.5528
87,M,True,687.6700000000001,914.36,42.68580000000001,55.968,106.19800000000001,112.16600000000001,-0.023612940000000002,-0.020627399999999997,8688.920000000002,36.032399999999996,4.5659600000000005,27862000000000.0,28.8116,3.848080000000001e+23,1857.6200000000001,33930400000000.0,2.2974e+22,60.0446,18788.2,4.0827
88,M,False,647.5020000000001,862.5620000000001,40.24079999999999,53.25179999999999,100.78999999999999,107.76999999999998,0.0973822,-0.0188664,8551.44,33.4628,4.419759999999999,26492200000000.0,25.0678,3.89692e+23,1861.8399999999997,33379800000000.0,2.3739800000000002e+22,56.182,6345.1,4.056219999999999
89,M,False,,,,,,,,,,,,,,,,,,,,
90,M,False,,,,,,,,,,,,,,,,,,,,
91,M,False,,,,,,,,,,,,,,,,,,,,
92,M,False,,,,,,,,,,,,,,,,,,,,
93,M,True,,,,,,,,,,,,,,,,,,,,
94,M,False,,,,,,,,,,,,,,,,,,,,
95,M,True,,,,,,,,,,,,,,,,,,,,
96,M,False,,,,,,,,,,,,,,,,,,,,
97,M,False,,,,,,,,,,,,,,,,,,,,
98,M,False,,,,,,,,,,,,,,,,,,,,
99,M,False,297.128,472.554,36.812400000000004,54.9116,105.572,114.256,-0.191018,0.014035999999999998,5464.48,31.156599999999997,4.409560000000001,13927000000000.0,18.116400000000002,1.5380200000000002e+23,1367.7599999999998,23548600000000.0,1.49612e+22,174.67200000000003,5135.780000000001,19.0412
100,M,False,85.4466,789.9739999999999,43.891999999999996,51.48479999999999,92.49839999999999,99.42760000000001,0.1128064,0.00233004,7707.8,37.77759999999999,4.49776,2244860000000.0,31.163800000000002,3.75396e+23,1764.58,35175600000000.0,2.4358e+22,133.792,6943.1,10.124799999999999
101,M,True,58.238249999999994,1315.0,56.06875000000001,74.33175,107.62750000000001,115.35499999999999,0.28959999999999997,-0.001472025,11644.5,46.02075000000001,4.77595,6217950000000.0,46.0295,6.129325e+23,3086.2,55733250000000.0,2.269575e+22,105.64,72201.5,5.748575
102,M,True,1078.56,1276.34,55.5714,78.043,111.11600000000001,119.556,0.0743758,0.0331026,13603.6,45.4582,4.75138,42354400000000.0,46.934799999999996,5.886919999999999e+23,2804.0199999999995,45531400000000.0,2.04656e+22,144.266,47445.4,7.830119999999999
103,M,False,739.816,1081.8400000000001,60.66799999999999,60.530199999999994,83.18260000000001,94.163,0.068527,0.0179686,21502.4,53.6072,4.835100000000001,27617400000000.0,62.07860000000001,1.1756999999999999e+24,2524.3,47864800000000.0,2.8637e+22,176.08999999999997,65872.6,7.479259999999999
104,M,True,1072.6799999999998,1260.3799999999999,53.2946,73.78999999999999,110.04400000000001,116.494,0.316632,0.032845599999999996,12137.8,43.935,4.7609200000000005,43081600000000.0,43.9066,5.26404e+23,2543.3200000000006,42843800000000.0,1.9853e+22,163.35399999999998,42292.4,9.276720000000001
105,M,False,1181.9,1287.7800000000002,51.83200000000001,70.0938,109.18199999999999,118.14000000000001,-0.0133178,0.0334514,11937.2,43.386,4.73386,44754600000000.0,43.3844,5.60068e+23,2829.3999999999996,46379000000000.0,2.24954e+22,183.28199999999998,37436.4,10.3802
106,M,True,1031.3,1198.9333333333332,48.01,49.52333333333333,82.782,90.09533333333333,-0.000777633333333333,0.018786,11630.0,42.818000000000005,4.746366666666667,45992666666666.664,39.461999999999996,8.478733333333331e+23,2694.2000000000003,50360333333333.336,3.720833333333333e+22,265.17333333333335,34871.666666666664,13.504
107,M,False,914.174,1134.44,45.403800000000004,47.547399999999996,81.6856,87.77779999999998,0.021595400000000004,0.017046,10684.2,39.989200000000004,4.54542,38408200000000.0,34.5296,7.60912e+23,2555.7,46772000000000.0,3.81284e+22,277.558,22334.4,15.689000000000002
108,M,True,,,,,,,,,,,,,,,,,,,,
109,M,False,,,,,,,,,,,,,,,,,,,,
110,M,False,,,,,,,,,,,,,,,,,,,,
111,M,True,56.01500000000001,1443.5400000000002,51.81179999999999,70.62280000000001,113.71,115.28800000000001,0.423706,-0.0015827,7863.62,41.7966,4.2363,8022960000000.0,39.189400000000006,3.6960200000000004e+23,1888.2599999999998,39541600000000.0,2.04784e+22,130.578,17054.4,9.72236
