,FLARE_TYPE,COINCIDENCE,g_s_1,g_s_2,g_s_3,g_s_4,g_s_5,g_s_6,g_s_7,g_s_8,g_s_9,g_s_10,g_s_11,g_s_12,g_s_13,g_s_14,g_s_15,g_s_16,g_s_17,g_s_18,g_s_19,g_s_20,g_s_21,g_s_22,g_s_23,g_s_24,g_s_25,g_s_26,g_s_27,g_s_28,g_s_29,g_s_30,g_s_31,g_s_32,g_s_33,g_s_34,g_s_35,g_s_36,g_s_37,g_s_38,g_s_39,g_s_40
1809,N,False,569.21,511.29,535.22,562.49,536.2,507.38,528.19,494.85,514.23,562.33,557.12,474.02,544.28,489.43,496.26,421.1,439.79,401.71,384.14,360.81,550.41,470.76,449.44,460.54,331.63,200.73,255.82,288.24,326.08,292.94,240.78,324.27,276.48,286.61,238.15,291.93,233.95,193.25,317.2,241.34
1810,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,398.73,0.0,0.0,408.66,400.93,386.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1811,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1812,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1813,N,False,1069.2,1056.5,1029.5,1081.8,1035.3,1036.7,980.81,990.55,924.06,233.54,928.82,966.2,903.27,235.2,219.33,230.48,216.29,210.3,202.38,209.15,204.42,214.7,352.04,282.5,260.53,259.64,260.99,193.01,309.2,291.39,308.32,284.13,211.84,221.99,154.72,259.17,182.3,184.03,220.24,269.71
1814,N,False,220.18,217.54,287.97,305.71,338.96,357.15,242.08,270.84,239.21,139.6,134.85,172.44,157.06,126.64,128.18,132.85,143.7,140.48,146.02,164.51,157.54,172.79,194.73,233.66,186.12,368.24,362.84,345.59,345.23,347.95,359.58,347.58,280.11,301.89,288.12,346.48,442.26,392.45,271.48,373.26
1815,N,False,437.05,276.55,403.17,372.32,277.29,273.52,265.25,269.16,264.54,409.12,363.51,380.82,207.05,378.51,550.66,450.18,469.18,603.19,377.98,463.24,474.4,509.14,343.03,663.5,664.23,623.94,699.31,621.22,640.7,621.61,768.01,545.65,413.15,290.48,435.84,411.2,416.42,411.02,403.6,264.24
1816,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1817,N,False,0.0,0.0,0.0,0.0,0.0,12.263,15.498,0.0,13.121,12.94,15.187,18.473,21.646,43.887,19.176,14.774,16.49,16.864,24.756,28.693,23.659,27.359,26.149,26.226,18.651,13.233,14.402,22.525,19.475,15.32,0.0,0.0,0.0,9.2845,14.093,12.859,11.814,17.542,40.708,35.612
1818,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419.48,0.0,421.44,397.45,397.22,402.42,414.64,418.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
