index,nar,time_start,xray_class,time_peak,time_end,USFLUX,MEANGAM,MEANGBT,MEANGBZ,MEANGBH,MEANJZD,TOTUSJZ,MEANJZH,TOTUSJH,ABSNJZH,SAVNCPP,MEANPOT,TOTPOT,MEANSHR,SHRGT45,R_VALUE,AREA_ACR,g_s,slf,d_l_f
174,11581,2012-09-25 04:36:00,NULL,not applicable,not applicable,2.7342090909090914e+21,43.05174999999999,134.48022727272726,136.85249999999996,73.74506818181817,0.8672815909090907,6714513636363.637,-0.0211070909090909,331.50545454545454,100.82697727272728,4263531818181.8174,3768.840909090908,2.3766e+22,33.27445454545454,21.83234090909091,3.6158659090909095,242.88818181818175,203.5750857142857,58.09672558139535,214.2211860465116
175,11586,2012-10-09 22:24:00,NULL,not applicable,not applicable,4.681377966101695e+21,49.20457627118645,81.15284745762712,82.94535593220338,44.03077966101695,-0.1255804084745762,4953094915254.237,0.0039196983050847,235.13813559322037,27.28035593220339,620008355932.2034,10503.283050847454,9.726442372881356e+22,41.10584745762712,42.096830508474575,3.603879661016949,140.72084745762712,,,
176,11588,2012-10-08 04:24:00,NULL,not applicable,not applicable,1.332879298245614e+20,37.2479649122807,158.35052631578947,153.5236842105263,77.35285964912279,-0.1949031940350877,289731403508.7719,-0.0087113395719298,13.029536842105262,2.271758814035088,127548543859.64912,2337.6807017543856,7.278229824561402e+20,25.551473684210524,10.389786842105265,1.9428967741935483,18.50526315789473,,,
177,11592,2012-10-18 21:36:00,NULL,not applicable,not applicable,8.626771186440678e+20,29.91837288135593,136.83271186440678,134.7671186440678,57.2572372881356,0.2305006016949152,1457654237288.1355,-0.0042789361016949,63.73572881355931,5.852922711864407,357067677966.1017,1807.4101694915255,3.427815254237288e+21,23.015474576271192,3.3496135593220338,1.798375,81.80049152542372,,,
178,11595,2012-10-18 06:48:00,NULL,not applicable,not applicable,1.4364178571428571e+21,28.659928571428573,133.47178571428572,132.25035714285713,50.4432142857143,-0.2818720071428571,1866471428571.4285,0.0081749321428571,92.68782142857144,18.598642857142856,650294642857.1428,1938.0464285714284,5.804917857142856e+21,22.69725,2.7135603571428573,1.9879800000000003,63.19317857142857,,,
179,11600,2012-10-27 20:24:00,NULL,not applicable,not applicable,1.12545406779661e+21,40.00240677966102,165.74355932203392,163.66779661016952,92.97952542372882,0.6739167457627118,1954822033898.3047,-0.0151133457627118,108.08416949152544,24.6931186440678,890077966101.695,3205.857627118645,6.995059322033899e+21,24.970542372881354,7.600538983050847,2.2156846153846157,112.57796610169493,50.945125,49.43246428571429,138.74535714285713
180,11601,2012-10-30 14:24:00,NULL,not applicable,not applicable,9.021345762711865e+20,34.19062711864407,139.18050847457627,141.10169491525423,66.33349152542372,0.8411938983050846,1545096610169.4917,0.0048815008474576,73.82196610169491,7.199256779661017,667227288135.5933,2003.2677966101692,3.861654237288135e+21,23.225135593220337,5.664241525423727,2.682390909090909,102.15806779661015,,,
181,11602,2012-11-03 08:24:00,NULL,not applicable,not applicable,7.332630508474576e+21,34.09515254237288,118.66898305084746,119.17305084745765,51.84813559322035,0.2231662033898305,10694325423728.814,0.0019432146440677,476.0322033898304,21.82192203389831,2011962372881.356,3539.201694915254,5.4432e+22,27.612338983050844,13.344898305084744,2.3842714285714286,485.9474576271186,,,
182,11605,2012-11-10 06:00:00,NULL,not applicable,not applicable,4.7184921568627445e+20,27.328686274509803,129.771568627451,128.90019607843138,47.24088235294119,0.4279282156862745,641360392156.8628,-0.0012373183411764,28.494333333333334,1.6923976117647055,215171617647.05884,1623.413725490196,1.6174803921568625e+21,21.545117647058827,1.5383892156862746,1.4211,27.408529411764707,,,
183,11609,2012-11-13 04:24:00,NULL,not applicable,not applicable,2.0122694915254238e+22,49.11583050847457,116.46237288135596,121.11322033898304,67.93625423728813,0.0123356881355932,39416000000000.0,0.0145818644067796,1868.3305084745768,494.9794915254237,23819237288135.598,7046.438983050848,3.18063220338983e+23,39.97671186440677,34.756389830508475,4.504174576271186,1144.7525423728814,13509.703389830507,16.80440677966102,222.5715254237288
