index,time_start,time_peak,time_end,nar,xray_class,COINCIDENCE
304,2014-01-11 09:36:00,not applicable,not applicable,11948,N,False
305,2014-01-12 09:36:00,not applicable,not applicable,11949,N,False
306,2014-01-12 01:00:00,not applicable,not applicable,11951,N,False
307,2014-01-17 23:36:00,not applicable,not applicable,11952,N,False
308,2014-01-15 14:12:00,not applicable,not applicable,11954,N,False
309,2014-01-22 14:12:00,not applicable,not applicable,11958,N,False
310,2014-01-22 03:12:00,not applicable,not applicable,11962,N,False
311,2014-01-24 21:12:00,not applicable,not applicable,11964,N,False
312,2014-01-29 10:00:00,not applicable,not applicable,11965,N,False
313,2014-01-30 01:00:00,not applicable,not applicable,11966,N,False
314,2014-02-02 19:00:00,not applicable,not applicable,11969,N,False
315,2014-02-07 01:00:00,not applicable,not applicable,11970,N,False
316,2014-02-12 21:00:00,not applicable,not applicable,11978,N,False
317,2014-02-23 09:24:00,not applicable,not applicable,11981,N,False
318,2014-02-23 08:48:00,not applicable,not applicable,11983,N,False
319,2014-02-20 08:48:00,not applicable,not applicable,11985,N,False
320,2014-02-28 23:00:00,not applicable,not applicable,11992,N,False
321,2014-03-05 16:24:00,not applicable,not applicable,11997,N,False
322,2014-03-10 18:12:00,not applicable,not applicable,11999,N,False
323,2014-03-11 06:12:00,not applicable,not applicable,12000,N,False
324,2014-03-10 04:36:00,not applicable,not applicable,12001,N,False
325,2014-03-15 16:36:00,not applicable,not applicable,12004,N,False
326,2014-03-18 10:36:00,not applicable,not applicable,12007,N,False
327,2014-03-19 14:24:00,not applicable,not applicable,12009,N,False
328,2014-03-24 05:00:00,not applicable,not applicable,12012,N,False
329,2014-03-25 06:48:00,not applicable,not applicable,12019,N,False
330,2014-03-28 19:36:00,not applicable,not applicable,12020,N,False
331,2014-04-18 08:48:00,not applicable,not applicable,12039,N,False
332,2014-04-18 02:48:00,not applicable,not applicable,12040,N,False
333,2014-04-17 17:48:00,not applicable,not applicable,12041,N,False
334,2014-04-18 03:00:00,not applicable,not applicable,12043,N,False
335,2014-04-21 09:00:00,not applicable,not applicable,12046,N,False
336,2014-05-12 00:12:00,not applicable,not applicable,12054,N,False
337,2014-05-11 14:12:00,not applicable,not applicable,12057,N,False
338,2014-05-12 17:12:00,not applicable,not applicable,12062,N,False
339,2014-05-17 09:12:00,not applicable,not applicable,12064,N,False
340,2014-05-17 10:36:00,not applicable,not applicable,12067,N,False
341,2014-05-21 09:00:00,not applicable,not applicable,12070,N,False
342,2014-05-24 15:00:00,not applicable,not applicable,12074,N,False
343,2014-06-05 05:48:00,not applicable,not applicable,12077,N,False
344,2014-06-03 23:48:00,not applicable,not applicable,12078,N,False
345,2014-06-07 01:24:00,not applicable,not applicable,12081,N,False
346,2014-06-10 16:48:00,not applicable,not applicable,12084,N,False
347,2014-06-12 06:24:00,not applicable,not applicable,12088,N,False
348,2014-06-17 00:24:00,not applicable,not applicable,12090,N,False
349,2014-06-13 02:12:00,not applicable,not applicable,12091,N,False
350,2014-06-27 04:24:00,not applicable,not applicable,12094,N,False
351,2014-06-27 12:48:00,not applicable,not applicable,12097,N,False
352,2014-06-27 09:00:00,not applicable,not applicable,12098,N,False
353,2014-06-28 15:12:00,not applicable,not applicable,12099,N,False
354,2014-06-27 09:12:00,not applicable,not applicable,12101,N,False
355,2014-07-03 07:48:00,not applicable,not applicable,12103,N,False
356,2014-07-02 01:48:00,not applicable,not applicable,12105,N,False
357,2014-07-07 11:36:00,not applicable,not applicable,12110,N,False
358,2014-07-08 23:36:00,not applicable,not applicable,12111,N,False
359,2014-07-05 07:12:00,not applicable,not applicable,12112,N,False
360,2014-07-10 14:48:00,not applicable,not applicable,12115,N,False
361,2014-07-13 20:48:00,not applicable,not applicable,12116,N,False
362,2014-07-19 20:48:00,not applicable,not applicable,12118,N,False
363,2014-07-30 12:36:00,not applicable,not applicable,12124,N,False
364,2014-08-10 08:24:00,not applicable,not applicable,12128,N,False
365,2014-07-30 14:24:00,not applicable,not applicable,12129,N,False
366,2014-08-10 08:36:00,not applicable,not applicable,12131,N,False
367,2014-10-06 20:12:00,not applicable,not applicable,12179,N,False
368,2014-10-08 08:12:00,not applicable,not applicable,12183,N,False
369,2014-10-12 06:12:00,not applicable,not applicable,12184,N,False
370,2014-10-10 00:12:00,not applicable,not applicable,12186,N,False
371,2014-10-15 17:00:00,not applicable,not applicable,12188,N,False
372,2014-10-16 17:00:00,not applicable,not applicable,12189,N,False
373,2014-10-18 05:00:00,not applicable,not applicable,12190,N,False
374,2014-10-18 11:00:00,not applicable,not applicable,12191,N,False
375,2014-10-26 02:36:00,not applicable,not applicable,12194,N,False
376,2014-10-27 14:36:00,not applicable,not applicable,12195,N,False
377,2014-10-29 08:36:00,not applicable,not applicable,12196,N,False
378,2014-10-30 08:36:00,not applicable,not applicable,12197,N,False
379,2014-10-31 15:12:00,not applicable,not applicable,12198,N,False
380,2014-11-02 15:12:00,not applicable,not applicable,12199,N,False
381,2014-11-04 15:12:00,not applicable,not applicable,12200,N,False
382,2014-11-03 09:12:00,not applicable,not applicable,12202,N,False
383,2014-11-06 03:12:00,not applicable,not applicable,12204,N,False
384,2014-11-08 03:12:00,not applicable,not applicable,12206,N,False
385,2014-11-14 19:12:00,not applicable,not applicable,12207,N,False
386,2014-11-14 17:36:00,not applicable,not applicable,12211,N,False
387,2014-11-16 05:36:00,not applicable,not applicable,12212,N,False
388,2014-11-19 17:36:00,not applicable,not applicable,12213,N,False
389,2014-11-22 02:24:00,not applicable,not applicable,12215,N,False
390,2014-11-30 08:24:00,not applicable,not applicable,12218,N,False
391,2014-11-28 18:00:00,not applicable,not applicable,12224,N,False
392,2014-12-04 18:00:00,not applicable,not applicable,12225,N,False
393,2014-12-05 23:24:00,not applicable,not applicable,12228,N,False
394,2014-12-08 01:12:00,not applicable,not applicable,12229,N,False
395,2014-12-22 08:48:00,not applicable,not applicable,12238,N,False
396,2014-12-18 21:48:00,not applicable,not applicable,12240,N,False
397,2014-12-22 01:00:00,not applicable,not applicable,12243,N,False
398,2014-12-28 01:00:00,not applicable,not applicable,12246,N,False
399,2014-12-29 10:24:00,not applicable,not applicable,12247,N,False
400,2015-01-02 07:00:00,not applicable,not applicable,12252,N,False
401,2015-01-03 02:36:00,not applicable,not applicable,12254,N,False
402,2015-01-08 06:12:00,not applicable,not applicable,12255,N,False
403,2015-01-12 20:00:00,not applicable,not applicable,12260,N,False
404,2015-01-20 08:00:00,not applicable,not applicable,12261,N,False
405,2015-01-12 14:00:00,not applicable,not applicable,12262,N,False
406,2015-01-22 14:36:00,not applicable,not applicable,12265,N,False
407,2015-01-25 08:36:00,not applicable,not applicable,12269,N,False
408,2015-01-30 17:00:00,not applicable,not applicable,12272,N,False
409,2015-01-27 21:24:00,not applicable,not applicable,12274,N,False
410,2015-02-02 03:36:00,not applicable,not applicable,12278,N,False
411,2015-02-01 09:36:00,not applicable,not applicable,12279,N,False
412,2015-02-17 03:48:00,not applicable,not applicable,12285,N,False
413,2015-03-05 21:24:00,not applicable,not applicable,12295,N,False
414,2015-03-08 09:24:00,not applicable,not applicable,12296,N,False
415,2015-03-08 10:36:00,not applicable,not applicable,12298,N,False
416,2015-03-12 20:48:00,not applicable,not applicable,12300,N,False
417,2015-03-15 20:48:00,not applicable,not applicable,12301,N,False
418,2015-03-20 13:48:00,not applicable,not applicable,12304,N,False
419,2015-03-23 07:36:00,not applicable,not applicable,12306,N,False
420,2015-03-28 07:36:00,not applicable,not applicable,12307,N,False
421,2015-03-25 13:36:00,not applicable,not applicable,12308,N,False
422,2015-03-30 10:48:00,not applicable,not applicable,12313,N,False
423,2015-03-31 22:48:00,not applicable,not applicable,12314,N,False
424,2015-03-31 22:48:00,not applicable,not applicable,12316,N,False
425,2015-03-28 10:48:00,not applicable,not applicable,12317,N,False
426,2015-04-04 13:48:00,not applicable,not applicable,12319,N,False
427,2015-04-19 06:00:00,not applicable,not applicable,12328,N,False
428,2015-04-20 12:00:00,not applicable,not applicable,12329,N,False
429,2015-04-23 07:12:00,not applicable,not applicable,12330,N,False
430,2015-04-25 08:00:00,not applicable,not applicable,12332,N,False
431,2015-05-01 14:00:00,not applicable,not applicable,12334,N,False
