,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,tss,validation_tss,loss,validation_loss,hss,validation_hss
40,40.0,40.0,40.0,40.0,10.0,,,0.5714523792266846,0.7254725098609924,0.3326295018196106,0.2805769145488739,0.4195151329040527,0.5769147872924805
41,41.0,41.0,41.0,41.0,11.0,,,0.6440379023551941,0.6970847249031067,0.3279010057449341,0.2177269756793975,0.4870019555091858,0.5371071696281433
42,42.0,42.0,42.0,42.0,12.0,,,0.5121185183525085,0.4404654204845428,0.3265371024608612,0.1924538165330886,0.4072995185852051,0.2843144834041595
43,43.0,43.0,43.0,43.0,13.0,,,0.7208136320114136,0.6547223925590515,0.3785351514816284,0.1942159086465835,0.6092942357063293,0.491468071937561
44,44.0,44.0,44.0,44.0,14.0,,,0.5057601928710938,0.7665166258811951,0.3233353197574615,0.3899881541728973,0.3794681429862976,0.6426030397415161
45,45.0,45.0,45.0,0.0,,,,0.6516646146774292,0.7666215896606445,0.9588358998298644,0.9311606287956238,0.5945907831192017,0.714684247970581
46,46.0,46.0,46.0,1.0,,,,0.7446312308311462,0.74439936876297,0.8041462302207947,0.9114538431167604,0.6860121488571167,0.6969459652900696
47,47.0,47.0,47.0,2.0,,,,0.578978955745697,0.5196487903594971,0.5762830376625061,0.3974432647228241,0.4757125377655029,0.359103798866272
48,48.0,48.0,48.0,3.0,,,,0.6952418088912964,0.7888438105583191,0.6097257733345032,0.7337908148765564,0.5923397541046143,0.7316019535064697
49,49.0,49.0,49.0,4.0,,,,0.7567369937896729,0.7849860787391663,0.5582637786865234,0.2756211757659912,0.6492281556129456,0.6541562080383301
50,50.0,50.0,50.0,5.0,,,,0.594265341758728,0.7450365424156189,0.408785343170166,0.7109991312026978,0.4843740463256836,0.6687911152839661
51,51.0,51.0,51.0,6.0,,,,0.7194634675979614,0.731654942035675,0.3824440240859985,0.3921198546886444,0.5970770120620728,0.5941117405891418
52,52.0,52.0,52.0,7.0,,,,0.7258080244064331,0.7675266861915588,0.3805904984474182,0.5530539155006409,0.6100465059280396,0.667354166507721
53,53.0,53.0,53.0,8.0,,,,0.6975789070129395,0.7988192439079285,0.359815239906311,0.3911232054233551,0.5615015029907227,0.6834619641304016
54,54.0,54.0,54.0,9.0,,,,0.7439387440681458,0.7988192439079285,0.3745464086532593,0.3746120929718017,0.622747540473938,0.6834619641304016
55,55.0,55.0,55.0,10.0,,,,0.6523936986923218,0.7474436163902283,0.3439063131809234,0.1670800596475601,0.5206248164176941,0.5914678573608398
56,56.0,56.0,56.0,11.0,,,,0.6993116140365601,0.7994563579559326,0.3055062890052795,0.157595619559288,0.5615308880805969,0.6587581634521484
57,57.0,57.0,57.0,12.0,,,,0.4943481385707855,0.8114352226257324,0.3563535809516907,0.5545763373374939,0.390956312417984,0.7393379211425781
58,58.0,58.0,58.0,13.0,,,,0.7743054628372192,0.7511177062988281,0.491667777299881,0.790333092212677,0.6993152499198914,0.693812370300293
59,59.0,59.0,59.0,14.0,,,,0.6501739621162415,0.76975017786026,0.3430649936199188,0.1797508001327514,0.5089691877365112,0.6203792095184326
