,FLARE_TYPE,COINCIDENCE,g_s_1,g_s_2,g_s_3,g_s_4,g_s_5,g_s_6,g_s_7,g_s_8,g_s_9,g_s_10,g_s_11,g_s_12,g_s_13,g_s_14,g_s_15
2054,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2055,N,False,104.76,95.042,101.06,95.789,82.561,83.507,98.848,91.77,84.112,90.397,45.154,54.507,92.428,60.088,100.04
2056,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.15,97.07
2057,N,False,3440.9,3484.2,5566.3,3468.3,3313.7,3330.8,4764.6,3362.5,1180.1,2373.8,2463.1,2450.5,3489.5,3573.1,5559.4
2058,N,False,157.8,151.04,135.86,132.75,124.36,0.0,116.59,105.07,0.0,106.83,0.0,98.192,0.0,0.0,0.0
2059,N,False,2383.6,2651.5,2139.0,2396.6,2540.5,2798.0,2754.8,2642.6,2288.3,1847.6,1854.9,1596.6,1512.8,1640.6,1518.8
2060,N,False,1383.4,1640.9,1822.1,1593.1,1375.4,1425.3,1475.7,1425.2,1427.3,1385.2,1410.5,1525.2,1563.0,1582.0,1600.2
2061,N,False,381.92,382.06,383.62,398.21,419.27,396.59,388.7,371.69,378.02,395.24,375.16,387.64,366.2,361.13,398.92
2062,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2063,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2064,N,False,0.0,0.0,0.0,0.0,0.0,0.0,71.535,67.141,68.593,65.587,63.963,75.165,71.781,72.043,66.836
2065,N,False,32371.0,30731.0,29660.0,30281.0,34952.0,32392.0,31905.0,31652.0,32666.0,31619.0,31980.0,29850.0,28467.0,27016.0,30199.0
2066,N,False,2359.8,2392.3,2386.7,2347.3,2320.6,2372.2,2283.1,2323.8,2345.5,2378.3,2347.6,2365.6,2443.0,2315.0,2367.4
2067,N,False,11909.0,11903.0,12912.0,12489.0,11825.0,11815.0,11171.0,10478.0,10889.0,11294.0,11088.0,9276.9,10704.0,9073.7,7907.4
2068,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2069,N,False,189500.0,194060.0,166990.0,177110.0,159870.0,185640.0,162470.0,148760.0,174190.0,169030.0,199840.0,197010.0,211780.0,187180.0,199180.0
2070,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2071,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2072,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2073,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2074,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2075,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2076,N,False,14121.0,14279.0,12315.0,12877.0,10731.0,9711.3,9915.5,11566.0,11398.0,11319.0,11438.0,11287.0,12863.0,11450.0,11797.0
2077,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2078,N,False,2160.1,2175.1,2158.3,2199.3,2194.9,2134.2,2146.2,2191.9,2197.3,2230.9,2717.8,2223.0,2194.2,5155.5,2183.3
2079,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2080,N,False,0.0,0.0,0.0,0.0,125.71,129.18,0.0,155.91,160.43,165.72,172.28,154.72,157.44,178.66,207.52
2081,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2082,N,False,76.807,69.656,59.481,65.947,80.507,74.983,65.902,55.308,60.541,55.308,66.505,58.812,55.337,62.373,62.373
2083,N,False,935.19,644.88,481.29,506.58,670.55,583.97,572.03,614.81,347.89,357.09,274.88,275.75,274.9,276.42,198.71
2084,N,False,54551.0,56762.0,49602.0,51552.0,56887.0,51393.0,55935.0,49630.0,55330.0,53777.0,57931.0,54626.0,51932.0,51263.0,52465.0
2085,N,False,55258.0,51466.0,53218.0,54551.0,56762.0,49602.0,51552.0,56887.0,51393.0,55935.0,49630.0,55330.0,53777.0,57931.0,54626.0
2086,N,False,0.0,0.0,0.0,19.304,19.588,36.959,42.394,47.028,30.421,49.225,32.516,52.103,28.839,31.076,31.47
