,FLARE_TYPE,COINCIDENCE,AREA_ACR_1,AREA_ACR_2,AREA_ACR_3,AREA_ACR_4,AREA_ACR_5,AREA_ACR_6,AREA_ACR_7,AREA_ACR_8,AREA_ACR_9,AREA_ACR_10,AREA_ACR_11,AREA_ACR_12,AREA_ACR_13,AREA_ACR_14,AREA_ACR_15
1337,B,False,126.35,126.3,129.6,129.12,127.91,129.73,133.15,132.82,135.74,138.43,138.06,138.97,138.44,141.53,142.5
1338,B,False,25.671,25.45,27.485,23.769,26.033,23.678,23.589,23.543,25.264,20.71,23.11,21.68,22.305,23.541,24.097
1339,B,True,122.62,121.82,120.21,125.3,128.88,136.63,143.68,144.95,145.49,149.25,146.83,147.01,148.98,158.28,162.72
1340,B,False,400.76,402.27,404.28,405.3,409.7,415.4,414.17,416.76,416.53,416.23,415.28,414.02,408.3,404.63,404.56
1341,B,False,12.938,20.365,20.969,26.803,30.516,32.68,33.796,33.15,33.266,36.34,37.648,37.746,39.143,37.154,38.82
1342,B,False,384.24,388.22,390.69,392.17,390.13,393.13,393.86,393.71,389.72,389.99,389.66,393.3,395.02,392.92,393.05
1343,B,False,126.59,126.62,129.37,127.88,125.84,127.89,132.79,124.33,126.26,121.48,122.32,124.05,121.92,123.03,122.73
1344,B,False,178.99,179.68,182.85,182.2,178.3,187.36,178.18,177.07,178.77,176.57,172.34,170.72,171.28,170.44,172.87
1345,B,True,191.13,190.82,189.22,191.87,190.28,187.99,189.28,193.95,195.46,196.46,194.98,195.14,192.5,194.91,192.95
1346,B,False,550.04,550.56,556.77,559.89,556.12,560.43,553.15,539.19,543.64,553.57,520.65,541.64,539.68,532.22,526.58
1347,B,True,104.88,102.38,102.87,105.48,105.1,102.8,100.64,102.63,104.5,102.67,104.57,103.95,110.39,109.66,106.64
1348,B,False,144.31,137.8,144.05,149.64,148.52,152.58,155.87,158.28,160.41,164.86,167.03,173.2,170.96,169.26,165.07
1349,B,False,67.715,67.566,66.824,66.829,66.412,66.313,67.173,67.207,67.336,67.612,70.524,70.296,72.206,73.602,77.966
1350,B,False,289.09,290.42,288.88,290.3,288.87,286.48,288.13,287.17,286.5,283.37,285.87,284.09,285.26,286.2,286.58
1351,B,False,52.166,53.206,51.864,52.07,52.488,50.458,48.089,47.303,47.643,47.233,49.055,48.312,47.474,47.921,46.282
1352,B,False,151.87,153.92,153.78,151.16,155.55,156.34,154.7,163.1,166.51,167.49,168.2,172.38,176.74,178.91,181.12
1353,B,False,259.5,256.18,258.54,257.2,256.67,260.97,256.4,257.2,252.93,252.95,257.38,260.69,263.79,261.36,258.05
1354,B,False,207.19,206.39,213.64,218.17,220.52,226.2,222.1,228.31,227.87,228.24,236.92,238.59,243.89,246.1,249.91
1355,B,False,59.606,59.506,59.149,60.037,61.397,59.99,59.936,59.815,59.828,58.9,60.435,60.303,59.977,62.753,60.911
1356,B,False,222.67,223.4,223.21,226.33,222.97,223.13,220.71,217.42,219.61,217.32,215.0,211.77,212.47,210.24,206.28
1357,B,False,429.26,428.55,429.37,426.16,422.65,425.65,424.07,423.61,430.86,429.69,427.35,428.44,427.57,431.04,429.21
1358,B,False,35.141,36.164,34.467,35.053,35.205,34.558,33.533,33.522,30.618,29.672,28.633,28.398,28.313,27.354,25.453
1359,B,False,71.021,70.358,71.235,71.805,69.967,69.794,72.479,74.91,73.062,71.756,68.016,66.7,64.066,66.159,62.945
