,FLARE_TYPE,COINCIDENCE,SHRGT45_1,SHRGT45_2,SHRGT45_3,SHRGT45_4,SHRGT45_5,SHRGT45_6,SHRGT45_7,SHRGT45_8,SHRGT45_9,SHRGT45_10,SHRGT45_11,SHRGT45_12,SHRGT45_13,SHRGT45_14,SHRGT45_15
2047,N,False,18.446,19.127,19.822,16.455,15.99,17.695,21.483,19.413,19.359,19.991,20.496,19.753,19.07,17.751,16.447
2048,N,False,2.0933,2.5434,3.5651,5.0532,5.6494,6.6505,6.4775,6.8284,8.2691,6.4636,6.0656,5.4384,4.8605,5.2609,4.5191
2049,N,False,43.582,43.154,43.448,43.644,43.852,44.947,44.999,45.284,45.735,45.71,45.579,45.114,45.053,45.122,45.66
2050,N,False,13.419,13.237,12.873,13.243,13.369,13.448,13.579,12.59,12.825,13.261,14.64,13.63,12.509,11.57,10.34
2051,N,False,6.7789,7.0479,8.4255,9.7037,8.2233,8.7383,10.887,14.511,11.817,11.689,14.766,14.107,12.7,16.092,12.117
2052,N,False,23.026,22.216,20.208,25.854,25.906,28.325,29.05,24.309,28.394,25.847,30.303,27.333,25.932,33.043,32.204
2053,N,False,33.588,33.263,32.954,32.79,32.419,32.272,32.121,32.424,32.125,31.972,31.793,31.756,31.478,31.256,31.939
2054,N,False,3.8536,3.937,3.9707,4.7161,4.6425,3.0622,3.7453,2.7514,4.7619,4.6253,4.2226,4.0703,4.8148,4.428,3.4959
2055,N,False,18.478,17.92,14.911,16.764,15.214,17.151,14.06,10.766,10.56,8.8959,8.3246,9.3047,9.7625,8.4357,8.3163
2056,N,False,23.965,21.896,20.445,20.69,21.585,20.68,21.769,20.787,20.572,18.835,18.375,21.464,22.062,20.934,22.139
2057,N,False,32.706,32.87,32.906,32.946,33.062,33.481,33.718,33.236,33.325,33.911,33.653,33.477,33.467,33.683,34.098
2058,N,False,14.955,15.782,14.394,13.978,13.211,11.941,13.139,14.417,13.606,14.483,12.651,14.112,13.741,15.205,14.6
2059,N,False,40.112,39.261,40.23,40.728,39.922,39.358,39.401,39.502,39.108,39.511,39.404,38.327,38.41,38.56,36.811
2060,N,False,22.432,22.967,22.046,21.97,21.938,20.902,20.742,20.278,21.312,20.625,19.202,19.302,20.25,19.478,20.829
2061,N,False,4.7729,4.671,3.2954,4.0512,4.6704,4.5522,5.3859,3.139,3.5556,2.9118,3.2691,3.8243,4.8984,3.4196,3.6826
2062,N,False,15.798,11.433,13.577,15.513,15.747,13.609,18.831,21.093,21.661,24.199,24.423,25.993,26.119,24.245,23.389
2063,N,False,7.1676,6.8568,6.523,6.7797,6.7602,6.5117,6.1174,5.5448,6.4085,5.5489,6.1065,5.1309,5.5595,5.4596,4.7301
2064,N,False,5.2101,6.3604,2.9514,3.1311,6.1303,2.4482,1.5748,5.3407,8.0235,6.4449,4.3825,8.3691,4.4665,3.9024,6.6351
2065,N,False,32.743,32.346,32.355,32.278,32.215,32.039,32.33,32.378,32.434,31.945,31.444,32.041,32.203,32.101,32.345
2066,N,False,35.438,35.311,35.989,35.885,35.414,35.019,34.959,34.989,34.603,34.604,34.433,34.945,34.79,34.38,34.363
2067,N,False,32.735,32.186,32.843,33.515,33.097,33.266,33.05,33.331,32.915,33.168,32.608,32.719,32.225,32.507,32.018
2068,N,False,19.55,20.089,20.637,21.29,21.694,22.265,22.736,21.689,22.866,22.905,23.013,22.512,21.997,22.066,22.168
2069,N,False,50.704,50.926,51.129,50.973,51.134,51.025,50.851,51.036,50.854,50.73,51.009,50.864,51.182,51.234,51.4
2070,N,False,2.6657,2.9664,4.4636,2.5812,3.2233,3.3871,3.3011,4.0738,3.9167,3.8361,3.5616,5.0442,4.4953,3.7488,5.7922
2071,N,False,44.356,43.71,44.396,43.873,44.437,44.494,43.97,43.763,43.368,43.014,42.763,43.374,42.729,43.43,44.489
2072,N,False,25.467,25.775,26.157,26.282,26.713,26.814,26.978,27.428,27.518,27.829,28.089,28.242,28.34,28.01,28.137
2073,N,False,36.32,33.346,32.009,31.434,31.529,30.086,30.624,31.185,31.028,31.435,29.794,30.948,32.157,32.503,32.557
2074,N,False,22.897,22.488,22.796,23.168,24.273,23.924,24.186,24.293,23.949,23.859,24.102,24.443,24.648,24.782,23.78
2075,N,False,12.582,14.678,12.672,13.624,15.041,16.882,12.0,9.9692,12.297,13.12,7.8581,11.357,15.843,12.742,13.904
2076,N,False,23.14,23.18,23.262,23.494,23.451,23.294,23.204,23.304,23.346,23.656,23.419,23.189,22.72,22.885,22.269
2077,N,False,4.886,5.6394,5.5786,4.749,5.9859,5.8447,5.8231,6.3713,7.2697,7.2225,5.8397,5.4109,4.9187,6.9636,5.4922
