,time_start,time_peak,time_end,nar,xray_class,magnitude,COINCIDENCE,before_coincident_flare,ABSNJZH,AREA_ACR,MEANGAM,MEANGBH,MEANGBT,MEANGBZ,MEANJZD,MEANJZH,MEANPOT,MEANSHR,R_VALUE,SAVNCPP,SHRGT45,TOTPOT,TOTUSJH,TOTUSJZ,USFLUX,d_l_f,g_s,slf,expected_timepoint,observed_timepoint,time_difference
1813,2014-01-20 21:12:00,not applicable,not applicable,11961.0,N,0.0,False,False,97.056,96.167,59.319,84.091,122.48,128.24,0.73641,0.026224,5965.5,46.457,3.1988,4517400000000.0,47.893,2.9329e+22,277.02,6000400000000.0,1.8249e+21,61.485,470.44,15.624,2014-01-20 00:12:00,2014-01-20 00:12:00,0 days 00:00:00
1817,2014-05-17 05:00:00,not applicable,not applicable,12061.0,N,0.0,False,False,41.951,422.59,46.548,55.669,102.88,102.08,0.30141,0.0038977,9128.8,38.285,3.1717,1744900000000.0,36.384,1.3049e+23,454.4,9762900000000.0,7.0228e+21,19.209,0.0,2.2267,2014-05-16 08:00:00,2014-05-16 08:00:00,0 days 00:00:00
1818,2014-06-11 06:24:00,not applicable,not applicable,12086.0,N,0.0,False,False,3.4305,86.409,34.705,84.489,162.55,159.71,0.63216,-0.0031647,2288.3,22.319,0.0,371600000000.0,4.5203,3.2943e+21,66.818,1296400000000.0,7.1398e+20,0.0,0.0,0.0,2014-06-10 09:24:00,2014-06-10 09:24:00,0 days 00:00:00
1819,2014-12-11 11:12:00,not applicable,not applicable,12233.0,N,0.0,False,False,1.9632,67.482,32.103,66.113,149.66,154.37,1.4394,-0.0031664,1116.9,17.315,0.0,455200000000.0,1.6129,9.1962e+20,31.813,659110000000.0,3.6971e+20,0.0,0.0,0.0,2014-12-10 14:12:00,2014-12-10 14:12:00,0 days 00:00:00
1820,2015-09-12 18:24:00,not applicable,not applicable,12416.0,N,0.0,False,False,20.542,29.616,35.609,76.975,151.46,149.81,0.38382,-0.021853,3504.8,25.047,2.6722,391690000000.0,5.9574,4.3752e+21,63.903,1024100000000.0,7.279e+20,41.593,144.41,15.339,2015-09-11 21:24:00,2015-09-11 21:24:00,0 days 00:00:00
1821,2015-09-20 00:24:00,not applicable,not applicable,12418.0,N,0.0,False,False,124.04,1109.6,46.716,50.952,97.59,98.529,0.29701,0.0045465,11849.0,39.267,3.3616,4304300000000.0,36.0,4.2934e+23,1114.2,24001000000000.0,1.7376e+22,0.0,0.0,0.0,2015-09-19 03:24:00,2015-09-19 03:24:00,0 days 00:00:00
1823,2015-11-06 08:12:00,not applicable,not applicable,12447.0,N,0.0,False,False,4.8008,63.965,42.101,84.409,155.62,158.28,0.42997,0.006016,2426.2,25.235,2.4038,464090000000.0,11.905,2.5712e+21,47.501,966980000000.0,4.9194e+20,0.0,0.0,0.0,2015-11-05 11:12:00,2015-11-05 11:12:00,0 days 00:00:00
1825,2015-11-15 09:00:00,not applicable,not applicable,12453.0,N,0.0,False,False,8.9477,110.49,36.395,85.711,173.39,176.91,0.96927,-0.0077003,1711.0,18.501,0.0,580010000000.0,3.1842,2.6403e+21,76.626,1434600000000.0,7.7453e+20,0.0,0.0,0.0,2015-11-14 12:00:00,2015-11-14 12:00:00,0 days 00:00:00
1828,2015-12-18 09:12:00,not applicable,not applicable,12471.0,N,0.0,False,False,8.6537,111.85,29.331,56.84,136.95,137.3,0.28181,-0.00504,1584.7,21.285,0.0,486340000000.0,2.6791,3.6136e+21,76.73,1674500000000.0,1.0522e+21,0.0,0.0,0.0,2015-12-17 12:12:00,2015-12-17 12:12:00,0 days 00:00:00
1830,2015-12-24 21:24:00,not applicable,not applicable,12475.0,N,0.0,False,False,6.1539,44.406,29.045,48.592,128.07,126.61,0.69443,0.0061478,1649.8,22.705,0.0,353700000000.0,1.8981,2.1932e+21,41.799,945090000000.0,5.8517e+20,0.0,0.0,0.0,2015-12-24 00:24:00,2015-12-24 00:24:00,0 days 00:00:00
