,FLARE_TYPE,COINCIDENCE,MEANGBH_1,MEANGBH_2,MEANGBH_3,MEANGBH_4,MEANGBH_5,MEANGBH_6,MEANGBH_7,MEANGBH_8,MEANGBH_9,MEANGBH_10,MEANGBH_11,MEANGBH_12,MEANGBH_13,MEANGBH_14,MEANGBH_15,MEANGBH_16,MEANGBH_17,MEANGBH_18,MEANGBH_19,MEANGBH_20
2146,N,False,55.565,56.23,56.112,56.145,56.333,56.136,55.571,55.694,54.099,55.007,56.416,56.169,56.143,55.998,57.436,56.399,54.156,53.815,54.4,54.329
2147,N,False,46.925,46.754,46.986,46.546,46.139,45.858,45.745,46.527,45.412,45.525,46.003,46.371,46.219,46.282,45.662,46.287,46.313,46.731,46.615,47.157
2148,N,False,47.285,47.237,47.288,47.403,47.198,46.223,45.963,46.139,45.572,45.746,44.92,45.178,44.299,43.847,42.731,42.445,41.485,41.463,40.588,40.88
2149,N,False,70.564,70.858,69.781,68.047,67.047,65.556,64.83,64.032,63.416,60.364,59.67,60.7,60.649,61.638,62.198,60.768,63.26,61.169,58.633,59.667
2150,N,False,50.53,50.792,51.814,50.384,50.513,50.679,50.653,50.57,50.727,50.798,50.965,51.054,51.278,50.855,51.145,50.667,51.598,50.907,45.447,44.923
2151,N,False,72.182,72.705,73.531,73.578,70.081,72.095,72.464,73.955,73.405,76.672,79.6,80.932,82.699,85.251,82.715,84.091,84.701,87.301,87.951,89.263
2152,N,False,71.217,72.005,72.242,72.751,71.776,71.619,71.391,70.404,69.778,69.554,69.369,68.27,68.07,68.034,67.616,67.952,67.839,68.32,67.362,68.336
2153,N,False,55.244,55.934,57.11,56.991,57.181,56.756,55.18,53.866,52.635,52.395,50.898,50.899,50.282,49.496,48.933,48.081,48.282,48.976,49.142,49.567
2154,N,False,53.411,53.5,54.129,54.711,54.972,54.328,55.273,55.759,56.378,56.944,57.118,57.281,56.729,57.436,56.467,55.669,55.87,55.602,55.237,54.791
2155,N,False,76.49,77.22,79.326,82.548,80.101,81.513,83.918,86.223,84.286,87.796,87.709,85.135,86.703,82.75,81.248,84.489,83.929,82.19,80.839,82.533
2156,N,False,71.839,70.278,69.863,65.989,67.064,66.235,61.976,63.902,63.774,67.233,67.743,61.089,63.145,65.74,65.584,66.113,63.513,63.841,64.402,67.144
2157,N,False,77.536,75.026,77.291,77.78,73.546,74.547,78.38,79.05,76.716,79.5,80.575,78.591,80.064,79.155,81.095,76.975,79.083,82.744,77.152,76.316
2158,N,False,53.422,53.686,53.291,53.234,53.308,53.026,53.118,52.788,53.156,52.391,52.206,51.791,51.664,51.299,50.976,50.952,50.534,49.559,49.209,48.826
2159,N,False,76.144,76.781,77.314,76.333,76.558,73.94,74.179,73.847,71.955,75.593,71.15,74.009,74.506,76.617,73.491,77.054,76.354,76.647,80.025,83.455
2160,N,False,69.818,68.46,67.735,68.905,70.4,71.298,69.631,70.162,71.33,73.626,73.208,72.149,73.357,72.857,72.242,72.543,71.784,70.413,70.75,70.824
2161,N,False,90.569,83.192,79.285,78.954,79.871,83.754,83.045,83.759,85.694,87.947,86.38,87.218,87.864,86.546,83.362,85.711,89.69,86.073,89.152,89.179
2162,N,False,72.122,70.675,70.617,70.053,69.644,68.641,67.536,66.433,66.352,65.666,65.358,65.163,64.963,65.764,65.722,64.727,65.835,66.563,66.221,66.226
