,FLARE_TYPE,COINCIDENCE,MEANPOT_1,MEANPOT_2,MEANPOT_3,MEANPOT_4,MEANPOT_5,MEANPOT_6,MEANPOT_7,MEANPOT_8,MEANPOT_9,MEANPOT_10,MEANPOT_11,MEANPOT_12,MEANPOT_13,MEANPOT_14,MEANPOT_15,MEANPOT_16,MEANPOT_17,MEANPOT_18,MEANPOT_19,MEANPOT_20
441,M,False,6982.5,6925.2,7114.0,7158.9,7259.7,7206.9,7227.3,7201.2,7236.2,7242.0,7362.3,7315.2,7232.1,7087.3,7080.7,6939.3,6869.3,6875.1,6765.1,6741.4
442,M,False,7315.2,7232.1,7087.3,7080.7,6939.3,6869.3,6875.1,6765.1,6741.4,6789.2,6720.6,6799.1,6788.6,6642.5,6823.8,6870.7,6805.7,6845.4,7121.0,7212.6
443,M,False,7370.9,7409.8,7337.1,7354.3,7263.9,7298.6,7310.4,7206.9,7211.1,7163.4,7151.3,7244.1,7117.9,7116.2,7044.0,7082.8,7202.6,7179.6,7209.4,7367.6
444,M,False,8247.4,8138.1,8084.2,8032.7,8028.9,8081.6,8087.9,8177.4,8359.8,8500.8,8679.6,8856.5,9097.4,9309.6,9482.1,9555.6,9704.3,9912.8,9951.9,10005.0
445,M,True,8533.0,8653.9,8342.5,8317.5,8502.3,8468.9,8390.7,8742.9,8603.6,8758.5,8396.0,8668.1,8434.8,8462.2,8665.3,8639.6,8485.9,8316.0,8225.1,8280.0
446,M,True,9168.7,9019.3,9070.0,9221.2,9400.8,9114.6,9074.8,8978.5,8836.5,8944.7,8891.9,8811.4,8715.2,8780.3,8638.5,8624.5,8623.2,8554.8,8549.2,8583.2
447,M,False,7645.3,7686.9,7832.3,7967.7,7979.0,8105.4,8246.1,8404.9,8539.4,8595.8,8762.5,8888.1,9042.9,9052.2,9126.8,9068.4,9139.0,9107.0,9068.5,9011.1
448,M,False,16877.0,16686.0,16567.0,16334.0,16235.0,16057.0,15921.0,15846.0,15728.0,15699.0,15536.0,15449.0,15382.0,15373.0,15333.0,15268.0,15233.0,15248.0,15445.0,15522.0
449,M,True,16466.0,16286.0,16047.0,15991.0,15872.0,15740.0,15694.0,15620.0,15514.0,15337.0,15278.0,15236.0,15156.0,15111.0,15116.0,15071.0,15164.0,15084.0,15089.0,15232.0
450,M,False,14770.0,14763.0,14734.0,14754.0,14782.0,14742.0,14784.0,14865.0,14997.0,15047.0,15038.0,14936.0,15170.0,15105.0,15077.0,15037.0,15205.0,15165.0,15197.0,15367.0
451,M,False,14045.0,14032.0,13936.0,13978.0,13975.0,13920.0,13870.0,13980.0,14005.0,13964.0,14124.0,14163.0,14357.0,14306.0,14423.0,14406.0,14503.0,14530.0,14641.0,14733.0
452,M,False,4025.7,4095.9,4161.0,4242.0,4264.2,4302.8,4341.8,4332.5,4381.3,4414.2,4373.1,4397.8,4371.4,4341.5,4347.0,4321.1,4272.1,4263.4,4285.0,4229.7
453,M,True,9622.7,9644.1,9662.8,9656.6,9710.4,9683.0,9655.2,9652.1,9630.8,9599.1,9578.1,9609.7,9636.2,9615.1,9585.2,9621.6,9577.0,9490.3,9596.4,9663.4
