,FLARE_TYPE,COINCIDENCE,TOTUSJZ_1,TOTUSJZ_2,TOTUSJZ_3,TOTUSJZ_4,TOTUSJZ_5,TOTUSJZ_6,TOTUSJZ_7,TOTUSJZ_8,TOTUSJZ_9,TOTUSJZ_10,TOTUSJZ_11,TOTUSJZ_12,TOTUSJZ_13,TOTUSJZ_14,TOTUSJZ_15,TOTUSJZ_16,TOTUSJZ_17,TOTUSJZ_18,TOTUSJZ_19,TOTUSJZ_20
1728,B,False,9248400000000.0,9407700000000.0,9867800000000.0,10656000000000.0,11101000000000.0,11678000000000.0,11382000000000.0,10988000000000.0,10679000000000.0,9847400000000.0,9474800000000.0,9542400000000.0,9518500000000.0,9544400000000.0,9650400000000.0,9778800000000.0,9752700000000.0,9626600000000.0,9298700000000.0,9101100000000.0
1729,B,False,7557700000000.0,7467200000000.0,7625900000000.0,7494400000000.0,7401400000000.0,7372300000000.0,7168700000000.0,7259100000000.0,7084300000000.0,7044400000000.0,7306600000000.0,7055000000000.0,7206600000000.0,7158800000000.0,7086200000000.0,7193200000000.0,7108400000000.0,7393000000000.0,7303800000000.0,7404500000000.0
1730,B,False,13878000000000.0,13884000000000.0,13843000000000.0,13722000000000.0,13144000000000.0,13451000000000.0,13350000000000.0,13100000000000.0,12760000000000.0,12819000000000.0,12531000000000.0,12478000000000.0,12636000000000.0,12726000000000.0,12395000000000.0,12533000000000.0,12030000000000.0,12042000000000.0,12453000000000.0,12347000000000.0
1731,B,False,10350000000000.0,11461000000000.0,10638000000000.0,11243000000000.0,11525000000000.0,11460000000000.0,10872000000000.0,11112000000000.0,11192000000000.0,11102000000000.0,11243000000000.0,11772000000000.0,12962000000000.0,11755000000000.0,11086000000000.0,12866000000000.0,12396000000000.0,11661000000000.0,11590000000000.0,12709000000000.0
1732,B,False,7391700000000.0,7425500000000.0,8068200000000.0,8230400000000.0,8653100000000.0,9158400000000.0,9364000000000.0,9748200000000.0,9864100000000.0,9866000000000.0,10038000000000.0,10096000000000.0,10251000000000.0,10153000000000.0,9480800000000.0,9711800000000.0,9624900000000.0,9705900000000.0,9143500000000.0,9498100000000.0
1733,B,False,3661200000000.0,3649400000000.0,3674800000000.0,3728700000000.0,3633200000000.0,3777200000000.0,4152200000000.0,4052800000000.0,4011900000000.0,4098100000000.0,4314800000000.0,4318500000000.0,4402900000000.0,4292200000000.0,4331200000000.0,4297700000000.0,4389900000000.0,4378900000000.0,4309500000000.0,4303500000000.0
1734,B,False,7914000000000.0,7741700000000.0,7924500000000.0,7898600000000.0,8052200000000.0,7804500000000.0,7791900000000.0,7648400000000.0,7823500000000.0,7617800000000.0,7894900000000.0,7571300000000.0,7591900000000.0,7577300000000.0,7421900000000.0,7399300000000.0,7191500000000.0,7166900000000.0,7045100000000.0,7076600000000.0
1735,B,False,10153000000000.0,9480800000000.0,9711800000000.0,9624900000000.0,9705900000000.0,9143500000000.0,9498100000000.0,10279000000000.0,10125000000000.0,10321000000000.0,10076000000000.0,10215000000000.0,10098000000000.0,10522000000000.0,10732000000000.0,10972000000000.0,12459000000000.0,12979000000000.0,12785000000000.0,11744000000000.0
1736,B,False,9364000000000.0,9748200000000.0,9864100000000.0,9866000000000.0,10038000000000.0,10096000000000.0,10251000000000.0,10153000000000.0,9480800000000.0,9711800000000.0,9624900000000.0,9705900000000.0,9143500000000.0,9498100000000.0,10279000000000.0,10125000000000.0,10321000000000.0,10076000000000.0,10215000000000.0,10098000000000.0
1737,B,False,6912200000000.0,6794000000000.0,6724600000000.0,6964000000000.0,7088600000000.0,7107400000000.0,7092100000000.0,7236300000000.0,7155700000000.0,6943600000000.0,7239000000000.0,7127900000000.0,7119200000000.0,7081200000000.0,6810400000000.0,6907100000000.0,6760700000000.0,6419300000000.0,6334800000000.0,6407700000000.0
