,FLARE_TYPE,COINCIDENCE,MEANPOT_1,MEANPOT_2,MEANPOT_3,MEANPOT_4,MEANPOT_5,MEANPOT_6,MEANPOT_7,MEANPOT_8,MEANPOT_9,MEANPOT_10,MEANPOT_11,MEANPOT_12,MEANPOT_13,MEANPOT_14,MEANPOT_15,MEANPOT_16,MEANPOT_17,MEANPOT_18,MEANPOT_19,MEANPOT_20,MEANPOT_21,MEANPOT_22,MEANPOT_23,MEANPOT_24,MEANPOT_25,MEANPOT_26,MEANPOT_27,MEANPOT_28,MEANPOT_29,MEANPOT_30
998,B,False,4698.4,4542.8,4637.4,4558.7,4587.9,4500.3,4390.0,4297.1,4275.2,4224.2,4112.6,4141.1,4149.0,4161.1,4150.9,4228.5,4217.8,4304.0,4266.5,4158.1,4298.8,4306.0,4222.4,4300.0,4262.6,4346.7,4361.8,4412.0,4349.2,4430.3
999,B,False,1520.4,1561.6,1563.8,1575.0,1558.7,1561.1,1589.5,1601.7,1619.5,1679.0,1718.0,1662.1,1749.0,1759.6,1779.7,1767.9,1689.2,1638.5,1577.8,1560.8,1456.8,1416.5,1351.3,1263.8,1308.4,1184.1,1227.3,1207.6,1256.1,1214.6
1000,B,False,3467.9,3475.4,3554.2,3822.1,3778.3,3941.4,3981.4,4103.4,4167.1,4255.2,4401.4,4488.1,4504.1,4816.4,4776.9,4803.6,4805.1,5025.4,5078.5,5168.2,5314.4,5389.8,5519.0,5379.2,5388.3,5360.6,5283.3,5357.0,5308.5,5430.5
1001,B,False,2208.3,2200.3,2407.4,2413.8,2479.0,2755.4,2954.8,3093.0,2957.6,2874.1,2563.7,3007.3,3003.0,2905.3,2952.6,3130.4,3024.3,3130.4,3213.2,3316.5,3319.7,3386.6,3658.4,4033.9,4076.4,4270.4,4063.2,3897.3,3731.5,4005.8
1002,B,True,3834.6,3865.2,3897.7,3905.4,3825.1,3861.9,3777.3,3782.9,3748.4,3695.8,3685.8,3607.6,3690.3,3588.1,3625.5,3619.2,3683.3,3710.7,3804.8,3794.9,3800.1,3817.9,3957.6,3958.9,4131.5,4127.0,4248.0,4294.5,4154.4,4212.2
1003,B,False,9495.5,9816.6,9944.8,9955.0,9910.6,9728.6,9038.7,8967.3,8613.8,8128.1,7998.7,7843.2,7659.2,7619.0,7346.9,7251.2,7348.0,7193.4,7359.0,7144.8,7120.7,7083.3,7357.0,7279.2,7346.6,7257.2,7611.6,7845.6,7907.2,8134.4
1004,B,False,16597.0,16779.0,17451.0,17306.0,16987.0,16310.0,16414.0,15735.0,15449.0,15342.0,15200.0,15014.0,14748.0,14995.0,14262.0,14018.0,14112.0,14150.0,13962.0,13789.0,13599.0,13947.0,13466.0,14190.0,13536.0,13520.0,13178.0,13519.0,13392.0,13389.0
1005,B,False,3743.0,3780.1,3817.6,3896.9,3937.7,3961.0,4068.5,4062.9,4079.6,4080.3,4125.7,4098.0,4223.9,4170.4,4110.1,4133.5,4152.6,4195.5,4223.0,4207.6,4264.3,4373.8,4491.6,4491.2,4494.9,4598.9,4567.5,4655.1,4702.0,4758.1
1006,B,False,11968.0,11915.0,11960.0,12033.0,11961.0,11912.0,11911.0,11867.0,12099.0,11911.0,11760.0,11980.0,11916.0,12041.0,12116.0,11885.0,11917.0,11869.0,11843.0,11845.0,11748.0,11817.0,11840.0,11803.0,11818.0,11969.0,11689.0,12020.0,12088.0,12129.0
1007,B,False,15313.0,15466.0,15588.0,15465.0,15434.0,15110.0,15317.0,15431.0,15263.0,15187.0,15660.0,15822.0,15522.0,15685.0,16028.0,15899.0,15655.0,16083.0,16095.0,16271.0,15784.0,15935.0,16107.0,16090.0,16006.0,15623.0,15740.0,15856.0,15933.0,16018.0
1008,B,False,2851.3,2920.0,2879.4,2810.7,2785.7,2709.4,2736.8,2478.6,2751.8,2657.2,2473.0,2225.5,2187.2,2242.9,2098.3,2059.8,2244.9,2053.8,2045.7,1880.6,1768.6,1733.3,1770.4,1783.8,1739.7,1751.4,1885.9,1876.4,1873.3,1880.0
1009,B,True,3454.1,3300.4,3246.9,3307.1,3237.8,3190.8,3175.6,3235.8,3283.0,3281.4,3258.7,3363.1,3416.1,3401.1,3469.3,3502.6,3570.8,3573.8,3586.2,3507.0,3554.5,3513.4,3343.8,3328.9,3275.1,3201.7,3212.6,3179.2,3159.5,3126.3
