,FLARE_TYPE,COINCIDENCE,MEANJZH_1,MEANJZH_2,MEANJZH_3,MEANJZH_4,MEANJZH_5,MEANJZH_6,MEANJZH_7,MEANJZH_8,MEANJZH_9,MEANJZH_10
1292,B,False,-0.0093453,-0.010415,-0.009423,-0.0097906,-0.0095893,-0.010479,-0.0088975,-0.0099401,-0.01029,-0.0098247
1293,B,False,-0.0016295,-0.0018323,-0.0015995,-0.001745,-0.0017712,-0.0015917,-0.0015187,-0.0018437,-0.0020851,-0.0023649
1294,B,False,-0.0035475,-0.0033793,-0.0033164,-0.0025106,-0.0033838,-0.0030551,-0.0035438,-0.0027116,-0.0036969,-0.0038469
1295,B,False,-0.00098177,-0.00091969,-0.0012206,-0.0014911,-0.0010982,-0.0010653,-0.00068965,-0.0010545,-0.0006065,-0.00025958
1296,B,False,0.010254,0.012148,0.010143,-0.0015165,0.0031081,0.0033444,0.0047501,0.0022963,0.0069069,0.0055104
1297,B,False,-0.0073159,-0.0070447,-0.0068978,-0.0090381,-0.0092661,-0.011947,-0.013037,-0.014729,-0.013669,-0.014183
1298,B,False,0.01009,0.0099528,0.0099632,0.010207,0.0089144,0.009673,0.007951,0.0072896,0.007908,0.0076332
1299,B,False,-0.00099238,-0.0014588,-0.0010195,-0.0011488,-0.00095965,-0.0012495,-0.0011273,-0.0013817,-0.0011527,-0.0012135
1300,B,False,-0.0092227,-0.0061861,-0.0075678,-0.0030699,3.5828e-05,0.0029583,0.0025756,0.0029426,0.0024918,0.0044862
1301,B,False,-0.0094557,-0.0093972,-0.0098649,-0.010063,-0.009059,-0.0096056,-0.0098749,-0.0099681,-0.0093613,-0.008477
1302,B,False,0.0043458,0.0043427,0.0049975,0.0031576,0.0044344,0.0034944,0.0029901,0.0036766,0.0044991,0.0047207
1303,B,False,-0.008168,-0.0090888,-0.010007,-0.0091308,-0.0083125,-0.0078483,-0.0077863,-0.0061263,-0.0059466,-0.0064899
1304,B,False,0.017577,0.016504,0.015237,0.016849,0.016592,0.016571,0.015507,0.016376,0.015516,0.013305
1305,B,False,-0.0073971,-0.0079851,-0.0069235,-0.0064426,-0.0091717,-0.0075824,-0.006213,-0.0066282,-0.007587,-0.0062401
1306,B,True,-0.00016326,-0.00030074,-0.00050119,-0.00047576,-0.00021495,-0.00036119,3.354e-05,-1.2595e-05,-0.00034304,-8.302e-05
1307,B,True,0.0039096,0.0027,0.002302,0.0045487,0.0028158,0.0043377,0.0038283,0.0046963,0.003937,0.0032155
1308,B,True,-0.035759,-0.0056945,0.020801,0.011311,0.033181,0.045785,0.033628,0.035709,0.023018,0.030185
1309,B,False,0.003953,0.0039725,0.0051155,0.0046591,0.0053912,0.0050583,0.0046241,0.0059447,0.0061445,0.0060172
1310,B,False,0.0025023,0.0021808,0.0026962,0.0026424,0.0027663,0.0024364,0.0026603,0.0032029,0.0031936,0.0036714
1311,B,False,0.016326,0.016508,0.016628,0.015902,0.018129,0.017632,0.016048,0.016659,0.016844,0.014937
1312,B,False,-0.011526,-0.011281,-0.011615,-0.011339,-0.012633,-0.01287,-0.012924,-0.013084,-0.013249,-0.014125
