,FLARE_TYPE,COINCIDENCE,MEANJZD_1,MEANJZD_2,MEANJZD_3,MEANJZD_4,MEANJZD_5,MEANJZD_6,MEANJZD_7,MEANJZD_8,MEANJZD_9,MEANJZD_10
1567,B,False,-0.142,-0.24835,-0.27414,-0.37025,-0.33993,-0.24876,-0.32506,-0.39497,-0.5257,-0.62553
1568,B,False,-0.016859,-0.011184,0.0070881,0.016759,0.010741,0.079095,-0.0081113,0.032459,0.053402,0.11854
1569,B,False,-0.14727,-0.076031,-0.071308,-0.021565,-0.013513,-0.057168,-0.037925,-0.086545,-0.057958,-0.13844
1570,B,False,-0.090863,-0.2023,-0.2231,-0.028848,-0.2004,0.066465,-0.17295,0.051519,0.37411,0.094027
1571,B,False,1.2438,1.3641,1.1094,1.1892,1.2219,1.1244,1.5161,1.2232,1.3056,1.1382
1572,B,False,0.31176,0.45106,0.45289,0.35273,0.52685,0.55388,0.51291,0.49099,0.4207,0.38792
1573,B,True,0.2796,0.2913,0.36643,0.33708,0.35583,0.40957,0.3658,0.45264,0.28569,0.13974
1574,B,True,0.28938,1.1104,1.0258,0.59644,0.8326,0.42067,0.29765,0.52961,0.69136,0.50957
1575,B,False,0.042964,0.12638,0.17857,0.040615,0.013537,0.12974,0.12017,0.17346,0.17233,0.20727
1576,B,False,-0.82656,-1.1029,-1.0342,-1.0192,-1.3372,-1.0316,-1.2051,-1.0862,-0.62057,-0.42059
1577,B,False,0.1072,0.54014,0.34788,0.25965,0.14002,0.17999,0.12038,0.16073,-0.09426,0.57023
1578,B,False,-0.047108,0.00066633,0.012583,-0.004406,0.00085152,-0.045613,0.0070399,0.053562,-0.033648,-0.046551
1579,B,False,-0.36398,-0.35086,-0.32841,-0.29361,-0.5691,-0.53643,-0.59361,-0.4876,-0.53407,-0.48602
1580,B,False,-0.0717,-0.12706,-0.090795,-0.13809,-0.1396,-0.20247,-0.15715,-0.23991,-0.17588,-0.27762
1581,B,False,-0.0041108,-0.042477,-0.12751,-0.12233,-0.13831,-0.18829,-0.15781,-0.15701,-0.18037,-0.21425
1582,B,False,0.025842,0.049579,-0.075035,0.16122,0.05739,0.017481,0.10985,-0.013574,0.066004,-0.081658
1583,B,False,1.0161,0.93165,1.0508,1.6215,1.2792,1.1038,1.1236,1.083,0.72607,1.3884
1584,B,False,0.55193,0.73182,0.65857,0.46958,0.39531,0.19654,0.40288,0.56372,0.1212,0.35785
1585,B,False,0.19634,0.034901,0.14901,0.23698,0.28985,0.22127,0.2339,0.08179,0.20066,0.15598
1586,B,False,0.653,0.56686,0.71328,0.70594,0.6537,0.6081,0.6215,0.5367,0.5572,0.60626
1587,B,False,0.44735,0.4483,0.34729,0.58343,0.59637,0.56428,0.5339,0.55447,0.47995,0.4272
1588,B,True,-0.013455,0.028566,0.011297,-0.033458,-0.038104,0.002247,0.075197,0.0095546,0.037649,0.10395
1589,B,False,0.45227,0.30719,0.3571,0.35522,0.29603,0.42477,0.53111,0.40191,0.29654,0.24523
