,FLARE_TYPE,COINCIDENCE,slf_1,slf_2,slf_3,slf_4,slf_5,slf_6,slf_7,slf_8,slf_9,slf_10
907,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
908,B,False,22.663,22.809,22.762,22.319,22.546,22.963,22.802,22.991,22.798,23.097
909,B,False,25.595,10.821,5.2608,0.0,10.592,0.0,0.0,0.0,10.522,25.115
910,B,False,0.0,0.0,1.5335,2.0057,2.1931,2.1598,2.2306,2.1184,2.0059,2.0174
911,B,True,35.221,38.254,31.373,32.416,36.752,32.831,35.468,31.115,30.589,36.071
912,B,False,4.1024,4.39,4.8924,5.3594,5.3594,6.6028,0.0,0.0,0.0,0.0
913,B,True,7.8608,6.4636,4.5927,2.2379,4.6217,2.2642,4.6579,4.5896,4.8055,2.1781
914,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
915,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
916,B,False,41.901,44.304,43.822,48.746,48.064,43.066,8.0324,9.0075,9.4519,9.8602
917,B,True,0.0,0.0,0.0,0.0,0.0,2.4746,0.0,0.0,0.0,0.0
918,B,False,14.152,13.967,14.229,14.434,14.804,14.237,14.179,13.826,13.753,13.983
919,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
920,B,False,40.414,39.029,40.433,41.172,41.714,43.265,39.409,39.956,40.723,40.074
921,B,False,24.747,24.465,24.138,24.098,25.198,25.734,25.495,25.021,25.594,24.118
922,B,True,7.5097,3.5178,7.2891,6.8893,3.4933,42.821,6.2053,11.524,11.964,3.4565
923,B,False,18.047,18.118,18.234,18.144,18.421,18.558,18.317,18.371,0.0,0.0
924,B,True,0.0,180.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
925,B,False,26.127,26.464,25.859,26.225,27.017,27.38,29.015,26.76,27.519,28.242
926,B,True,10.857,14.958,14.281,14.658,12.733,13.167,11.173,13.655,15.757,11.895
927,B,False,15.474,15.901,15.032,13.645,13.952,14.515,14.915,16.993,15.586,15.25
928,B,False,34.542,34.125,34.44,35.41,35.066,36.274,36.56,37.676,36.607,38.31
929,B,False,0.0,0.0,13.264,13.006,0.0,0.0,0.0,0.0,0.0,0.0
930,B,True,0.0,0.0,0.0,8.5027,8.5836,0.0,0.0,8.5068,8.7138,8.6022
931,B,True,1.0137,0.90714,0.0,0.0,0.0,1.2261,0.0,0.0,0.0,1.599
932,B,False,1.8409,0.0,0.0,2.0674,1.8268,1.8507,2.088,2.3685,2.4669,2.5519
933,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
934,B,False,23.252,23.231,23.303,23.208,23.014,23.291,23.429,23.272,23.023,22.825
935,B,False,18.767,18.728,18.568,18.717,18.691,18.948,18.911,18.987,18.971,18.74
936,B,True,16.443,15.827,15.727,15.529,15.704,15.753,16.275,16.0,15.78,15.829
937,B,False,12.097,13.98,14.334,13.92,15.458,18.176,20.692,18.605,19.456,20.268
938,B,True,2.4509,2.9707,1.6676,1.8007,1.1105,2.1369,1.4638,1.8012,0.87852,1.3393
939,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
940,B,True,2.7713,2.6932,3.0194,2.9004,2.7891,2.9507,2.9409,2.7421,2.7639,3.068
941,B,True,133.36,140.98,131.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
942,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
943,B,True,0.0,0.0,0.0,2.2053,2.2093,0.0,0.0,0.0,0.0,0.0
944,B,True,17.683,17.753,17.359,17.306,17.425,17.449,17.81,17.756,17.558,17.096
945,B,True,16.736,16.79,16.818,16.571,16.652,16.568,16.62,16.664,16.993,17.186
946,B,True,0.0,85.562,70.641,96.891,108.63,61.305,124.87,76.519,98.347,67.043
947,B,False,0.0,0.0,0.0,45.223,40.307,0.0,35.372,34.955,34.362,30.305
948,B,False,4.291,3.5634,3.5844,3.362,3.7897,3.4834,3.1341,2.996,3.041,2.6848
949,B,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
950,B,False,54.736,55.576,55.374,55.605,55.786,56.163,56.603,56.151,0.0,0.0
951,B,False,16.675,16.578,16.785,17.604,17.789,17.246,17.414,18.322,18.238,17.682
952,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
953,B,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
954,B,True,6.9238,5.9975,5.7397,5.7191,7.0676,6.9685,6.9388,7.0329,6.8974,7.0245
955,B,False,24.017,24.287,22.534,21.705,21.346,20.572,20.342,20.436,20.543,20.716
956,B,False,3.144,3.1904,3.2115,3.2638,3.2131,3.2095,3.3069,4.1465,3.2898,3.8525
957,B,False,14.22,15.279,15.662,21.411,36.224,15.15,32.95,18.744,24.443,29.895
958,B,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
959,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
960,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
961,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
962,B,True,1.8942,1.9698,2.1284,0.0,0.0,0.0,0.0,0.0,0.0,0.0
963,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
964,B,False,4.6041,4.6057,4.5254,4.4873,4.5845,4.5461,4.5267,4.5631,4.5145,4.4315
965,B,True,0.0,0.0,0.0,0.0,0.0,3.9822,3.0342,2.8247,2.5215,0.0
966,B,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
967,B,False,2.3687,2.4422,2.2451,2.2044,2.2175,2.8093,2.8542,2.7515,2.9924,2.4356
968,B,False,31.496,32.295,31.248,31.075,30.604,30.262,28.519,27.598,27.736,27.54
969,B,False,23.372,24.402,24.879,25.987,26.234,26.041,25.045,25.651,25.222,25.112
970,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
971,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
972,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
973,B,True,29.013,28.828,29.213,29.369,28.996,29.184,29.65,29.475,29.586,30.412
974,B,False,16.917,17.27,17.307,17.225,16.756,17.558,16.626,16.538,16.017,16.018
975,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
976,B,True,58.118,59.796,60.302,59.447,58.752,58.942,56.722,58.644,58.26,58.709
977,B,True,40.409,39.925,38.292,40.307,37.928,39.264,39.956,40.433,40.155,41.179
978,B,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
