,FLARE_TYPE,COINCIDENCE,R_VALUE_1,R_VALUE_2,R_VALUE_3,R_VALUE_4,R_VALUE_5,R_VALUE_6,R_VALUE_7,R_VALUE_8,R_VALUE_9,R_VALUE_10
103,M,True,4.821,4.8275,4.8422,4.8545,4.8395,4.8484,4.873,4.8762,4.8818,4.8645
104,M,False,4.8545,4.8395,4.8484,4.873,4.8762,4.8818,4.8645,4.8803,4.8856,4.85
105,M,False,4.8645,4.8803,4.8856,4.85,4.8538,4.8756,4.8712,4.8775,4.9092,4.907
106,M,False,4.8712,4.8775,4.9092,4.907,4.9109,4.9064,4.895,4.922,4.9222,4.8942
107,M,False,4.9013,4.8984,4.9089,4.9305,4.9225,4.9149,4.9366,4.9261,4.943,4.9277
108,M,True,4.9023,4.9722,4.9779,4.9548,4.9332,4.9474,4.9893,4.9655,4.9905,4.989
109,M,False,3.5832,3.5697,3.5646,3.6273,3.6526,3.6732,3.7772,3.7799,3.7895,3.7978
110,M,False,5.1401,5.1531,5.155,5.1464,5.1475,5.1681,5.1549,5.1303,5.1346,5.1508
111,M,False,4.9204,4.9187,4.933,4.9401,4.9236,4.9567,4.9062,4.9045,4.9199,4.9056
112,M,True,3.8749,3.7613,3.9127,4.0172,3.9689,3.8389,3.9436,3.9137,3.917,3.8854
113,M,True,3.9976,4.012,3.8999,3.8206,3.9353,3.9814,4.1019,4.0391,4.0112,4.0112
114,M,False,4.2122,4.2335,4.2227,4.2401,4.157,4.2278,4.1787,4.2366,4.2006,4.2864
115,M,False,4.6462,4.6091,4.5757,4.5883,4.5732,4.5994,4.6097,4.5917,4.6009,4.5612
116,M,False,4.5328,4.512,4.5028,4.5043,4.5536,4.5319,4.5188,4.5647,4.5092,4.5009
117,M,False,4.5743,4.5851,4.5661,4.5931,4.5758,4.5629,4.539,4.5111,4.5002,4.4505
118,M,True,4.828,4.873,4.8139,4.7883,4.7867,4.7309,4.7393,4.7417,4.6999,4.6945
119,M,True,4.434,4.4304,4.4518,4.3242,4.3701,4.4387,4.4813,4.4544,4.4434,4.4744
120,M,True,4.8529,4.8394,4.8773,4.8682,4.8724,4.8636,4.8525,4.8641,4.8928,4.8467
121,M,True,4.9771,4.9764,4.9596,4.9615,4.9464,4.9429,4.9597,4.9343,4.934,4.9681
122,M,True,4.9615,4.985,4.9751,4.9747,4.9926,5.0057,5.0374,5.0273,5.0364,5.0151
123,M,True,5.001,5.029,4.9984,4.9795,5.0158,5.0097,5.0113,5.0274,5.0368,5.0087
124,M,False,5.1202,5.0882,5.1253,5.128,5.1297,5.1038,5.1506,5.1356,5.1488,5.1559
125,M,False,5.1455,5.1377,5.1704,5.1796,5.157,5.1498,5.1793,5.1399,5.1494,5.1216
126,M,False,5.1342,5.116,5.1382,5.1448,5.1519,5.1411,5.1297,5.1035,5.1634,5.1348
127,M,False,4.2506,4.3038,4.2544,4.1907,4.2755,4.2562,4.2009,4.2624,4.2101,4.229
128,M,True,4.2998,4.3484,4.3196,4.3068,4.4071,4.3372,4.384,4.3877,4.3609,4.4082
129,M,False,4.06,4.0454,4.0804,4.1745,4.2067,4.1367,4.199,4.1731,4.1681,4.0929
130,M,False,4.8001,4.8084,4.8724,4.8724,4.7638,5.0519,4.8621,4.7531,4.6846,4.8172
131,M,True,3.2821,3.2513,3.1325,3.2795,3.3973,3.4025,3.6767,3.5237,3.5395,3.463
132,M,False,4.5052,4.5249,4.5276,4.4951,4.491,4.513,4.4569,4.4357,4.4265,4.4203
133,M,True,4.5011,4.4653,4.4463,4.4707,4.495,4.4739,4.5587,4.3869,4.4721,4.5022
134,M,False,4.6545,4.6191,4.6307,4.6008,4.5511,4.562,4.521,4.5909,4.6018,4.5999
135,M,False,4.5157,4.5397,4.559,4.4845,4.531,4.5258,4.6073,4.5725,4.5602,4.5203
136,M,True,4.6536,4.6701,4.653,4.6336,4.6364,4.6503,4.6499,4.6478,4.6521,4.6428
137,M,False,4.6354,4.6325,4.6543,4.6747,4.6825,4.6642,4.6452,4.6272,4.6317,4.6576
138,M,False,4.6936,4.698,4.673,4.6388,4.6698,4.6854,4.6366,4.6914,4.614,4.6534
139,M,False,4.8866,4.8769,4.8826,4.8884,4.8694,4.8845,4.8616,4.888,4.9,4.9159
140,M,False,4.633,4.6847,4.6717,4.7262,4.7421,4.6434,4.7283,4.7657,4.7685,4.7264
141,M,False,4.0928,4.0827,4.1224,4.1722,4.1586,4.1864,4.1659,4.1752,4.1341,4.1464
142,M,True,4.454,4.4076,4.4061,4.469,4.4413,4.3913,4.4389,4.4528,4.4225,4.4875
143,M,True,4.8265,4.8216,4.8393,4.8317,4.8337,4.8547,4.874,4.8861,4.8913,4.9106
144,M,False,4.8216,4.8393,4.8317,4.8337,4.8547,4.874,4.8861,4.8913,4.9106,4.8991
145,M,False,4.9107,4.8792,4.887,4.8928,4.9061,4.9236,4.9332,4.9102,4.9096,4.9094
146,M,True,4.9051,4.8984,4.9143,4.8867,4.8887,4.935,4.9313,4.9235,4.9457,4.9351
147,M,False,4.9313,4.9235,4.9457,4.9351,4.9357,4.9375,4.9512,4.9654,4.9747,5.0045
148,M,False,5.006,4.9633,5.0057,4.9964,4.9827,4.986,4.9736,4.9584,4.9705,4.9966
149,M,False,5.0062,5.0102,4.9927,4.9943,4.9979,4.9885,4.9959,5.0088,4.9959,4.9763
150,M,False,4.9496,4.9502,4.9712,4.9834,4.9963,4.9951,4.9972,5.0181,5.0162,5.0602
