,FLARE_TYPE,COINCIDENCE,MEANGBZ_1,MEANGBZ_2,MEANGBZ_3,MEANGBZ_4,MEANGBZ_5,MEANGBZ_6,MEANGBZ_7,MEANGBZ_8,MEANGBZ_9,MEANGBZ_10
1943,N,False,155.81,154.55,154.0,155.59,164.79,163.43,164.16,165.35,163.76,160.3
1944,N,False,122.89,128.25,114.68,116.78,116.97,131.25,141.66,129.39,136.32,137.35
1945,N,False,154.71,159.08,165.18,173.18,168.94,165.58,163.18,175.44,169.72,175.92
1946,N,False,138.1,134.93,135.96,140.51,136.12,144.01,152.94,151.21,159.71,163.08
1947,N,False,109.1,108.94,109.69,109.81,110.17,109.45,109.04,108.97,108.56,107.52
1948,N,False,119.08,120.93,120.0,118.73,116.23,115.36,116.25,116.06,115.46,118.01
1949,N,False,116.26,116.21,115.71,115.56,114.57,114.19,113.65,112.96,112.13,111.86
1950,N,False,137.11,139.53,141.18,141.77,140.33,142.45,141.15,143.38,142.76,144.18
1951,N,False,100.33,102.46,102.32,103.12,101.82,103.45,104.1,103.37,103.41,103.33
1952,N,False,76.121,117.78,118.13,117.67,124.83,131.32,137.32,124.29,123.59,122.97
1953,N,False,129.91,125.64,124.75,122.58,123.89,123.58,119.96,122.83,123.68,121.97
1954,N,False,122.66,123.48,125.79,124.2,127.8,130.04,128.92,126.89,129.6,124.24
1955,N,False,122.57,122.24,119.65,118.77,119.72,122.97,124.35,121.92,121.75,125.81
1956,N,False,121.59,120.05,121.81,121.25,122.46,120.06,123.38,129.55,136.26,128.93
1957,N,False,82.471,85.618,75.456,87.502,84.348,86.615,86.616,89.449,72.765,86.787
1958,N,False,99.404,101.49,103.78,103.48,105.27,99.693,100.31,98.801,101.07,101.77
1959,N,False,141.06,142.33,142.6,141.23,142.28,141.62,140.64,138.64,137.55,137.52
1960,N,False,129.4,129.24,128.46,131.14,130.85,129.22,130.29,128.66,126.52,126.93
1961,N,False,154.81,153.89,155.5,153.44,154.42,149.49,148.68,146.98,145.58,150.0
1962,N,False,146.84,146.05,143.88,145.57,145.68,146.11,147.95,144.9,142.6,143.28
1963,N,False,130.34,130.44,127.94,128.69,129.59,128.43,125.27,125.42,125.19,124.02
1964,N,False,149.61,153.81,151.07,157.31,160.99,156.73,173.26,174.65,170.34,167.56
1965,N,False,134.91,129.73,130.58,125.16,126.29,123.85,122.63,129.42,127.95,127.56
1966,N,False,116.66,118.15,117.47,116.66,118.22,115.75,113.69,111.46,114.16,111.89
1967,N,False,142.83,144.46,141.8,140.48,140.76,139.8,137.3,137.29,139.07,138.65
1968,N,False,103.52,102.29,101.71,101.06,99.93,99.891,99.839,99.943,99.006,98.449
1969,N,False,103.52,102.29,101.71,101.06,99.93,99.891,99.839,99.943,99.006,98.449
1970,N,False,192.28,184.17,180.97,178.98,176.16,173.7,170.25,180.88,176.55,177.01
1971,N,False,113.89,116.36,116.99,114.07,118.82,119.06,120.34,123.37,121.68,122.1
1972,N,False,89.271,88.031,88.062,87.437,87.98,87.887,87.42,86.649,86.429,87.626
1973,N,False,148.04,147.03,145.34,142.49,141.68,141.71,141.1,138.69,139.55,137.09
1974,N,False,106.24,106.87,108.04,108.46,109.37,109.62,111.02,111.13,110.61,111.75
