,FLARE_TYPE,COINCIDENCE,USFLUX_1,USFLUX_2,USFLUX_3,USFLUX_4,USFLUX_5,USFLUX_6,USFLUX_7,USFLUX_8,USFLUX_9,USFLUX_10
251,M,True,2.8027e+22,2.8167e+22,2.8404e+22,2.8066e+22,2.7974e+22,2.8128e+22,2.795e+22,2.783e+22,2.7767e+22,2.8179e+22
252,M,False,2.5348e+22,2.5433e+22,2.5418e+22,2.5326e+22,2.5269e+22,2.5239e+22,2.5044e+22,2.4823e+22,2.471e+22,2.4637e+22
253,M,False,2.7117e+22,2.7062e+22,2.719e+22,2.7255e+22,2.7613e+22,2.764e+22,2.765e+22,2.7714e+22,2.7758e+22,2.7939e+22
254,M,False,6.6407e+21,6.6506e+21,6.7553e+21,6.8568e+21,7.102e+21,7.1342e+21,7.2504e+21,7.4588e+21,7.5375e+21,7.5795e+21
255,M,False,2.9687e+22,2.949e+22,2.9282e+22,2.9025e+22,2.889e+22,2.8742e+22,2.8651e+22,2.8607e+22,2.8593e+22,2.8425e+22
256,M,False,2.8999e+22,2.8777e+22,2.8898e+22,2.8769e+22,2.8545e+22,2.8428e+22,2.8093e+22,2.7907e+22,2.7769e+22,2.7618e+22
257,M,False,6.811e+21,7.0683e+21,7.3151e+21,7.5724e+21,7.7231e+21,7.8202e+21,7.9392e+21,8.1352e+21,8.1796e+21,8.3121e+21
258,M,False,8.4693e+21,8.5453e+21,8.5611e+21,8.7639e+21,8.9154e+21,8.9223e+21,9.3266e+21,9.3718e+21,9.3226e+21,9.3468e+21
259,M,False,3.8525e+22,3.8911e+22,3.9251e+22,3.9855e+22,4.0119e+22,4.0377e+22,3.9592e+22,4.0723e+22,4.0831e+22,4.0868e+22
260,M,False,1.3226e+22,1.3151e+22,1.3072e+22,1.2768e+22,1.2744e+22,1.2753e+22,1.2769e+22,1.2724e+22,1.2666e+22,1.2786e+22
261,M,True,1.4337e+22,1.4299e+22,1.4294e+22,1.427e+22,1.4216e+22,1.4303e+22,1.4307e+22,1.444e+22,1.4673e+22,1.4803e+22
262,M,False,1.427e+22,1.4216e+22,1.4303e+22,1.4307e+22,1.444e+22,1.4673e+22,1.4803e+22,1.4809e+22,1.4856e+22,1.4765e+22
263,M,False,8.8078e+21,9.0998e+21,9.1198e+21,9.1795e+21,9.224e+21,9.2413e+21,9.4729e+21,9.398e+21,9.2508e+21,9.4817e+21
264,M,False,2.1534e+22,2.1508e+22,2.1578e+22,2.1672e+22,2.1627e+22,2.1887e+22,2.1686e+22,2.1747e+22,2.1755e+22,2.1567e+22
265,M,True,1.5297e+22,1.5336e+22,1.5479e+22,1.5244e+22,1.5196e+22,1.5244e+22,1.5124e+22,1.4945e+22,1.4719e+22,1.4658e+22
266,M,False,1.5356e+22,1.5246e+22,1.5285e+22,1.5325e+22,1.5341e+22,1.5274e+22,1.5228e+22,1.5481e+22,1.5513e+22,1.5396e+22
267,M,True,2.3641e+22,2.3575e+22,2.3541e+22,2.3637e+22,2.3751e+22,2.3887e+22,2.4041e+22,2.4088e+22,2.4185e+22,2.4476e+22
268,M,False,2.3477e+22,2.371e+22,2.3909e+22,2.4432e+22,2.465e+22,2.4807e+22,2.4973e+22,2.51e+22,2.512e+22,2.5012e+22
269,M,True,2.5958e+22,2.5815e+22,2.5828e+22,2.5638e+22,2.5535e+22,2.55e+22,2.5313e+22,2.5321e+22,2.5218e+22,2.5263e+22
270,M,True,2.925e+22,2.9098e+22,2.9075e+22,2.9238e+22,2.9167e+22,2.9123e+22,2.9231e+22,2.9165e+22,2.9332e+22,2.9675e+22
271,M,False,3.0288e+22,3.0386e+22,3.0651e+22,3.0772e+22,3.0873e+22,3.0911e+22,3.1112e+22,3.125e+22,3.1319e+22,3.1375e+22
272,M,False,3.0651e+22,3.0772e+22,3.0873e+22,3.0911e+22,3.1112e+22,3.125e+22,3.1319e+22,3.1375e+22,3.1526e+22,3.1583e+22
273,M,False,3.7215e+22,3.7256e+22,3.7062e+22,3.7242e+22,3.7213e+22,3.7298e+22,3.7201e+22,3.7478e+22,3.728e+22,3.7267e+22
274,M,False,3.4617e+22,3.4347e+22,3.4343e+22,3.4194e+22,3.4294e+22,3.4012e+22,3.4036e+22,3.3978e+22,3.397e+22,3.4004e+22
275,M,False,3.4194e+22,3.4294e+22,3.4012e+22,3.4036e+22,3.3978e+22,3.397e+22,3.4004e+22,3.4001e+22,3.3954e+22,3.3992e+22
276,M,True,0.0,0.0,0.0,0.0,0.0,7.2558e+18,1.088e+19,2.0543e+19,6.0673e+19,6.0302e+19
277,M,True,4.0421e+21,4.1387e+21,4.1343e+21,4.253e+21,4.2322e+21,4.3317e+21,4.2939e+21,4.4341e+21,4.4799e+21,4.6408e+21
278,M,True,1.606e+22,1.6382e+22,1.6367e+22,1.6615e+22,1.6826e+22,1.6964e+22,1.6939e+22,1.7056e+22,1.7351e+22,1.742e+22
279,M,False,1.8798e+22,1.8812e+22,1.9051e+22,1.9051e+22,1.866e+22,1.8807e+22,1.8915e+22,1.8979e+22,1.818e+22,1.8572e+22
280,M,False,1.7931e+22,1.7909e+22,1.8106e+22,1.8037e+22,1.8128e+22,1.8311e+22,1.8741e+22,1.8556e+22,1.8687e+22,1.8891e+22
281,M,False,1.8687e+22,1.8891e+22,1.8781e+22,1.8546e+22,1.885e+22,1.8971e+22,1.8638e+22,1.8543e+22,1.8869e+22,1.8538e+22
282,M,False,1.9133e+22,1.8936e+22,1.8709e+22,1.8779e+22,1.9001e+22,1.9263e+22,1.9267e+22,1.924e+22,1.9454e+22,1.945e+22
283,M,True,4.4416e+22,4.4432e+22,4.4243e+22,4.4392e+22,4.4263e+22,4.4362e+22,4.4721e+22,4.4862e+22,4.4791e+22,4.4621e+22
284,M,False,5.5386e+22,5.563e+22,5.5372e+22,5.6103e+22,5.6234e+22,5.6813e+22,5.7153e+22,5.7062e+22,5.7344e+22,5.7139e+22
285,M,False,3.4505e+22,3.4634e+22,3.4788e+22,3.4757e+22,3.4819e+22,3.4945e+22,3.4899e+22,3.4848e+22,3.4697e+22,3.4603e+22
