,FLARE_TYPE,COINCIDENCE,AREA_ACR_1,AREA_ACR_2,AREA_ACR_3,AREA_ACR_4,AREA_ACR_5,AREA_ACR_6,AREA_ACR_7,AREA_ACR_8,AREA_ACR_9,AREA_ACR_10
1809,B,False,211.95,212.64,212.74,216.38,213.43,213.36,214.5,215.47,217.83,220.89
1810,B,False,217.28,211.99,206.08,218.25,213.47,203.95,219.48,225.4,235.87,244.47
1811,B,False,207.62,212.63,205.49,210.51,209.37,218.37,214.67,217.28,211.99,206.08
1812,B,False,295.79,294.72,290.28,287.35,288.51,288.3,290.07,293.43,295.36,292.67
1813,B,False,404.85,402.74,398.52,398.21,398.31,399.04,402.43,403.44,403.8,404.14
1814,B,False,128.61,128.01,127.98,128.67,129.9,129.7,128.2,128.59,128.92,127.29
1815,B,False,212.09,218.18,218.92,227.6,234.03,235.4,243.06,250.06,255.51,260.22
1816,B,False,96.24,95.074,94.054,94.377,92.269,89.149,87.38,89.185,92.15,92.046
1817,B,False,423.63,426.14,425.48,424.39,427.2,429.4,442.56,450.78,452.08,454.65
1818,B,False,327.65,343.55,338.22,346.03,354.19,355.3,368.34,369.13,362.22,373.19
1819,B,False,162.86,163.46,161.49,164.58,164.92,162.44,161.97,157.37,155.66,156.56
1820,B,False,143.69,141.43,138.75,138.77,138.42,135.85,137.94,137.84,135.98,137.42
1821,B,False,690.59,685.13,688.2,691.44,689.27,689.97,684.43,688.8,680.2,675.96
1822,B,False,213.37,213.56,212.37,213.26,217.19,219.15,214.02,214.33,213.67,220.24
1823,B,False,496.81,497.89,496.6,492.0,495.47,498.8,494.53,495.9,492.21,494.62
1824,B,False,207.96,209.47,209.61,213.6,213.7,219.0,224.51,224.49,221.72,222.02
1825,B,False,95.437,103.93,108.71,107.68,112.12,110.19,108.81,105.96,107.34,106.32
1826,B,False,235.24,235.03,237.89,238.42,238.37,242.43,244.51,246.57,247.95,249.1
1827,B,False,168.23,168.5,170.12,170.61,173.96,173.95,172.47,173.26,170.87,169.92
1828,B,False,490.47,493.38,487.51,488.35,491.32,486.42,486.49,487.04,495.45,491.4
1829,B,False,187.73,184.74,184.01,184.16,185.12,180.77,182.27,180.75,177.05,177.57
1830,B,False,231.62,223.95,233.68,231.99,229.91,232.52,238.2,228.0,235.05,245.54
1831,B,False,429.08,431.28,425.62,424.06,427.35,428.08,423.9,423.21,422.51,422.99
1832,B,False,355.57,352.74,353.24,359.06,360.86,358.11,355.03,350.27,355.83,351.73
1833,B,False,385.38,388.08,387.87,388.28,383.52,378.69,380.0,380.73,381.49,379.49
1834,B,False,1090.4,1097.8,1105.2,1095.2,1107.2,1103.9,1103.6,1117.1,1128.8,1140.4
1835,B,False,163.91,170.5,167.83,174.57,167.81,159.08,157.24,158.44,152.47,149.88
1836,B,False,962.59,959.58,959.25,952.76,954.89,958.6,960.4,965.51,962.64,968.04
1837,B,False,203.45,202.66,203.57,201.81,201.86,198.49,204.23,205.47,206.55,208.15
1838,B,False,177.2,185.13,182.7,218.57,206.36,218.05,220.79,226.97,232.55,246.23
1839,B,False,129.05,127.19,128.8,127.11,124.34,126.93,125.31,126.88,128.02,125.33
1840,B,False,129.99,128.92,127.0,130.35,130.5,133.83,132.42,136.06,134.54,134.23
1841,B,False,595.24,603.93,612.68,628.57,643.75,649.86,660.89,683.13,697.2,706.03
1842,B,False,165.35,165.7,167.12,167.21,166.47,166.69,168.89,166.39,168.18,170.85
