,FLARE_TYPE,COINCIDENCE,MEANSHR_1,MEANSHR_2,MEANSHR_3,MEANSHR_4,MEANSHR_5,MEANSHR_6,MEANSHR_7,MEANSHR_8,MEANSHR_9,MEANSHR_10
1290,B,False,32.992,33.185,34.448,33.04,33.573,36.202,35.454,35.884,37.615,36.825
1291,B,False,33.045,33.076,32.291,33.287,33.108,32.489,31.727,32.372,31.91,30.689
1292,B,False,42.541,42.512,43.043,43.032,43.238,42.971,43.239,43.026,42.966,43.389
1293,B,False,20.16,20.076,20.134,20.272,20.288,20.419,20.277,20.109,20.226,20.195
1294,B,False,28.117,28.305,28.081,28.032,28.218,28.137,28.308,28.399,28.119,28.43
1295,B,False,25.959,25.888,25.652,25.969,26.133,25.56,25.842,25.722,25.642,25.74
1296,B,False,31.401,33.101,33.22,30.949,30.321,28.837,31.373,28.844,30.367,30.889
1297,B,False,35.091,35.396,35.916,35.628,35.977,35.981,34.999,35.301,35.082,34.621
1298,B,False,36.136,36.29,36.695,36.909,36.985,37.059,37.504,37.485,37.274,37.634
1299,B,False,33.961,33.637,33.841,33.728,33.324,33.254,33.004,32.934,33.086,33.317
1300,B,False,39.855,37.627,40.612,44.916,44.181,44.533,43.147,41.846,40.401,39.215
1301,B,False,34.181,34.641,34.045,34.016,33.427,32.98,33.529,33.801,33.88,32.432
1302,B,False,36.901,35.865,36.176,36.843,36.228,36.593,36.189,36.605,36.956,37.009
1303,B,False,26.388,26.159,25.87,26.608,26.967,26.963,26.66,26.71,26.755,26.671
1304,B,False,46.694,47.108,48.154,47.732,48.628,49.143,49.661,48.613,47.907,48.859
1305,B,False,20.698,20.171,20.079,20.948,20.697,21.18,20.569,20.213,21.161,20.378
1306,B,True,28.821,28.102,27.814,27.284,27.452,27.441,27.334,27.349,27.208,27.213
1307,B,True,25.679,25.125,24.907,25.142,25.082,24.717,24.472,25.031,24.976,24.612
1308,B,True,16.135,11.796,12.495,19.776,15.622,16.037,22.147,22.107,23.305,27.707
1309,B,False,44.725,44.788,44.175,44.041,44.006,44.336,44.622,45.344,45.553,44.112
1310,B,False,24.986,25.02,25.011,24.819,24.606,24.462,24.866,24.788,24.751,24.789
1311,B,False,28.45,27.816,28.311,27.805,28.635,29.255,28.188,28.342,29.059,29.559
1312,B,False,40.606,40.32,40.248,40.237,40.194,39.793,39.422,39.22,39.122,38.987
1313,B,False,43.235,42.232,41.933,41.76,41.714,41.676,41.723,41.637,42.388,42.272
1314,B,False,37.035,36.889,38.879,38.317,39.343,37.29,37.848,39.616,37.263,35.612
1315,B,False,29.861,29.169,29.349,29.572,29.145,29.122,28.951,29.245,29.197,28.747
1316,B,False,38.838,37.949,37.863,37.796,37.46,37.595,36.963,37.352,37.577,37.575
1317,B,False,29.434,28.916,29.117,29.127,28.774,28.726,28.79,28.819,28.938,28.731
1318,B,False,30.002,30.401,31.177,30.653,30.534,31.604,31.803,30.549,30.221,30.169
1319,B,False,33.064,32.845,33.639,32.672,33.414,33.564,33.581,34.436,34.411,34.262
1320,B,False,17.96,17.897,17.84,17.919,17.839,17.902,17.841,17.761,17.779,17.888
1321,B,False,47.689,48.764,46.012,46.69,45.843,44.309,46.808,43.948,45.71,43.43
1322,B,False,36.239,35.646,35.988,35.285,35.79,35.419,35.274,35.114,35.508,35.238
1323,B,False,32.644,32.28,31.889,32.128,31.716,31.29,31.93,31.532,31.771,31.538
1324,B,False,45.117,46.057,45.245,45.27,46.351,47.206,47.601,47.269,47.689,47.754
1325,B,False,26.915,26.73,26.834,26.945,27.028,26.827,27.223,27.297,26.955,27.161
1326,B,False,31.325,31.369,32.719,35.555,33.263,33.85,32.629,33.065,34.968,32.94
1327,B,False,21.789,22.583,23.342,22.61,22.747,22.783,23.862,23.291,23.567,23.143
1328,B,False,30.723,30.762,30.63,30.046,30.371,30.507,29.976,29.717,30.048,30.663
1329,B,False,37.339,36.631,36.716,36.16,36.113,36.341,36.509,36.204,36.744,36.382
1330,B,False,22.503,22.6,22.793,22.761,22.858,22.897,22.809,22.744,22.665,22.811
1331,B,False,28.36,28.183,26.966,27.593,26.531,25.81,25.901,26.244,25.024,25.029
1332,B,False,36.946,36.765,36.39,36.425,36.625,36.749,36.863,36.83,37.335,37.393
1333,B,False,20.306,20.15,20.644,19.128,19.749,19.978,18.967,22.253,20.996,20.46
1334,B,True,27.744,27.175,27.468,27.22,26.914,27.532,26.704,27.226,27.034,26.96
1335,B,False,41.924,41.61,40.395,41.67,41.757,39.817,41.516,40.921,41.971,40.184
1336,B,False,21.01,20.926,20.703,20.46,19.97,20.407,20.276,20.208,20.34,20.266
1337,B,True,31.77,31.354,31.827,31.38,32.126,31.602,31.693,31.997,31.418,30.604
1338,B,False,22.383,22.26,22.532,22.533,22.543,22.968,22.886,22.995,23.049,22.818
1339,B,False,26.424,28.124,26.877,27.781,26.442,26.598,27.149,25.769,27.085,26.808
1340,B,False,33.984,33.355,32.617,31.634,33.063,35.073,33.894,34.275,33.641,32.297
1341,B,False,30.38,30.392,30.328,30.247,30.439,30.468,30.454,30.728,30.826,30.916
1342,B,False,0.0,0.0,0.0,0.0,0.0,30.543,0.0,0.0,0.0,0.0
1343,B,True,28.534,28.629,29.316,29.686,29.634,29.989,29.724,29.288,29.74,30.412
1344,B,False,34.603,34.669,34.884,34.868,35.444,35.326,35.606,35.585,35.682,35.902
1345,B,False,26.466,26.455,26.384,26.217,26.406,26.232,26.491,26.578,26.004,26.166
1346,B,False,28.594,28.616,28.24,28.148,28.511,28.423,28.74,28.356,28.197,28.263
1347,B,True,23.238,23.38,24.225,25.223,25.428,26.185,25.446,25.631,24.921,24.696
1348,B,True,44.829,43.768,43.484,44.159,43.352,43.473,43.343,43.829,43.328,41.602
