T_REC,NOAA_AR,SAVNCPP,MEANPOT,EPSZ,TOTBSQ,TOTFZ,TOTABSTWIST
2014.04.15_17:12:00.000_TAI,12035,26441250000000.0,5143.4,-0.3311950403368676,17476559607.81003,-3058.527675039281,2991.101582920505
2012.11.13_04:00:00.000_TAI,11613,27432170000000.0,7916.0,-0.3198801091972145,16528945738.688498,-2793.8630669130625,2948.6548454251183
2012.11.19_19:24:00.000_TAI,11618,3376275000000.0,5812.9,-0.3522250530828253,13457076733.921003,-2504.6300659043536,2913.647799949156
2012.11.20_07:00:00.000_TAI,11618,11405240000000.0,6953.0,-0.2074094156372944,16241940159.737768,-1780.077948513711,3641.468657895441
2016.04.17_21:00:00.000_TAI,12529,13525080000000.0,11683.0,-0.1841911944331602,17424305593.189697,-1695.8877018654846,3713.860064470858
2012.11.26_16:00:00.000_TAI,11618,1964028000000.0,3188.6,-0.5616947554116765,20700456860.258747,-6144.023713100897,3607.907567916169
2012.11.26_21:24:00.000_TAI,11620,1149087000000.0,10585.0,-0.1772510855813289,25760347043.962933,-2412.755723195756,3664.697279323255
2015.01.29_13:48:00.000_TAI,12268,11643780000000.0,10700.0,-0.2658952934561628,31954330227.025925,-4489.655349101649,4433.681508086077
2015.01.25_11:36:00.000_TAI,12268,3599491000000.0,10541.0,-0.2173700604862528,69028073862.1302,-7928.628969199806,7465.784439196222
2013.01.10_15:12:00.000_TAI,11654,5954798000000.0,12512.0,-0.2114811232512901,67676253646.09007,-7562.763746280621,7807.457064067178
2013.10.17_13:00:00.000_TAI,11861,12334770000000.0,9254.4,-0.3094944410828303,19648875627.01685,-3213.3878913532976,4959.698982118377
2013.01.12_08:36:00.000_TAI,11652,14102660000000.0,5989.9,-0.3387206054644285,17194114630.074127,-3077.471140921377,4637.492211797655
2013.02.16_15:48:00.000_TAI,11675,1069003000000.0,3616.8,-0.4569738137800464,696682444.0705003,-168.2282388302962,204.62535413040985
2013.03.04_08:00:00.000_TAI,11686,524772400000.0,5241.0,-0.2789053957441541,4698645389.9017935,-692.4719830829417,573.202713530196
2013.03.20_22:00:00.000_TAI,11692,26643070000000.0,6765.3,-0.3726174624364404,36054431575.33746,-7098.956532543907,4722.811304160051
2013.04.10_07:12:00.000_TAI,11719,9861210000000.0,7501.0,-0.2807255817626693,18139485601.733784,-2690.7893799025987,3424.1797140487524
2013.04.11_20:36:00.000_TAI,11718,2307224000000.0,9803.3,-0.2429368552322505,27432601557.76406,-3521.544586144006,3691.212419423678
2013.04.21_10:24:00.000_TAI,11726,23184940000000.0,12776.0,-0.0961488699904529,34200294128.17574,-1737.587810311735,4573.042910983232
2015.06.18_22:00:00.000_TAI,12371,19123750000000.0,16735.0,-0.1261027121561443,25678772629.600643,-1711.0845362133457,5431.7294960412455
2013.10.17_05:24:00.000_TAI,11861,5662115000000.0,8779.6,-0.3534567554880805,20061795297.293182,-3746.958121115707,5987.3891174302335
2013.05.04_18:00:00.000_TAI,11739,35713420000000.0,4460.8,-0.4921231623865158,20995425457.1174,-5459.730392757661,4384.985937245539
2013.05.15_21:48:00.000_TAI,11748,26384810000000.0,6401.5,-0.4027892057580641,25193158958.198154,-5362.078961768768,3850.904297142514
2013.05.16_09:00:00.000_TAI,11748,24470990000000.0,5929.4,-0.3539093512688682,21967123918.82809,-4108.071444658808,3939.2453421742152
