,time_start,time_peak,time_end,nar,xray_class,magnitude,COINCIDENCE,AR_class,ABSNJZH,AREA_ACR,MEANGAM,MEANGBH,MEANGBT,MEANGBZ,MEANJZD,MEANJZH,MEANPOT,MEANSHR,R_VALUE,SAVNCPP,SHRGT45,TOTPOT,TOTUSJH,TOTUSJZ,USFLUX,d_l_f,g_s,slf
37,2017-01-26 16:24:00,2017-01-26 16:24:00,2017-01-26 16:36:00,12629,B,2.6,False,0,84.93,317.07,48.75,54.196,90.318,96.209,-0.43956,-0.0057654,9215.6,40.903,4.1342,3301600000000.0,39.384,1.803e+23,800.74,14026000000000.0,1.0177e+22,158.21,1372.5,17.194
38,2019-04-08 13:48:00,2019-04-08 14:00:00,2019-04-08 14:00:00,12738,B,5.6,False,0,26.624,828.4,55.882,28.122,39.591,46.115,0.049281,-0.0013209,18304.0,50.73,4.5418,617910000000.0,57.283,4.8997e+23,664.93,8809700000000.0,1.5183e+22,327.77,17560.0,24.33
39,2018-06-19 02:12:00,2018-06-19 02:24:00,2018-06-19 02:24:00,12714,B,1.0,False,0,42.642,26.935,50.51,73.647,130.03,129.81,1.4567,0.034278,4410.9,42.59,3.0504,1888200000000.0,40.354,7.2872e+21,75.737,1765700000000.0,6.0432e+20,0.0,0.0,0.0
40,2016-10-07 00:36:00,2016-10-07 00:36:00,2016-10-07 00:36:00,12598,B,3.5,False,0,42.425,831.08,51.856,64.482,108.9,108.69,0.34041,-0.001775,5633.6,41.993,3.7873,4277900000000.0,38.342,1.7883e+23,1103.7,24896000000000.0,1.2624e+22,161.51,4240.1,14.807
41,2021-09-03 15:48:00,2021-09-03 16:00:00,2021-09-03 16:24:00,12863,B,6.1,True,0,34.635,282.81,49.8,69.348,115.87,122.62,0.12073,0.003329,9245.9,40.609,3.9684,902180000000.0,37.38,1.2775e+23,624.75,12295000000000.0,7.3882e+21,97.316,3769.1,11.315
42,2021-08-18 18:12:00,2021-08-18 18:12:00,2021-08-18 18:24:00,12858,B,1.5,False,0,0.0039717,0.0,86.85,23.593,23.412,25.595,-1.0798,-0.00049647,1133.5,48.974,0.0,12319000000.0,62.5,1.2042e+19,0.0041798,4339500000.0,1.0794e+17,0.0,0.0,0.0
43,2021-03-07 07:24:00,2021-03-07 07:36:00,2021-03-07 07:36:00,12806,B,1.9,False,0,7.8021,189.25,26.803,37.15,115.65,115.4,0.053006,-0.00084759,1529.4,22.788,0.0,252750000000.0,3.3243,1.8696e+22,283.77,6546200000000.0,5.5416e+21,0.0,0.0,0.0
44,2017-11-23 09:00:00,2017-11-23 09:12:00,2017-11-23 09:12:00,12687,B,1.7,False,0,7.271,327.6,29.624,52.248,131.73,129.39,-0.071092,-0.00096228,1837.9,23.789,0.0,481500000000.0,4.4336,1.8443e+22,282.47,6554200000000.0,4.5522e+21,0.0,0.0,0.0
45,2021-05-14 00:36:00,2021-05-14 01:00:00,2021-05-14 01:24:00,12823,B,4.9,False,0,4.9509,117.78,43.914,83.896,144.11,141.3,-0.36279,0.0022092,5461.8,31.66,0.0,544060000000.0,17.894,1.6255e+22,136.01,2562400000000.0,1.5777e+21,0.0,0.0,0.0
46,2017-12-21 23:24:00,2017-12-21 23:24:00,2017-12-21 23:24:00,12692,B,1.2,False,0,2.9837,275.91,35.081,55.688,118.42,120.92,0.10386,0.00023416,3560.1,28.197,3.7425,696260000000.0,13.224,6.0244e+22,635.25,12101000000000.0,8.9135e+21,79.807,673.94,13.222
