T_REC,NOAA_AR,USFLUX,MEANPOT,EPSZ,TOTBSQ,TOTFZ,TOTABSTWIST
2012.05.15_22:24:00.000_TAI,11476,4.879771e+22,6055.3,-0.1981076417586844,65250269350.73714,-6830.558421242996,6146.196117082251
2012.03.05_12:36:00.000_TAI,11430,4.770395e+22,16121.0,-0.1882548001234678,64915384890.39932,-6457.528847083494,5894.944218105426
2012.03.05_22:48:00.000_TAI,11429,5.34372e+22,17438.0,-0.1470944195222318,76183501128.23227,-5921.473561550802,7025.723421344354
2012.03.06_00:24:00.000_TAI,11429,5.332782e+22,18207.0,-0.1328987806723093,77811407539.56111,-5464.330717865316,7108.240169487399
2012.03.06_17:00:00.000_TAI,11429,5.372936e+22,15124.0,-0.1378813279413481,78332584123.1996,-5707.167357127043,7257.535023502563
2012.03.08_03:48:00.000_TAI,11429,5.639983e+22,16383.0,-0.0840549264467003,79239904772.8143,-3519.4912059433755,8680.55361953212
2012.03.09_17:48:00.000_TAI,11429,4.881572e+22,13537.0,-0.1391331898430085,62864228569.47228,-4621.756696856045,7886.166224525416
2012.03.12_17:36:00.000_TAI,11429,5.76152e+22,8246.2,-0.2935854288728765,56286830452.664055,-8732.004705384228,7050.102707214342
2012.03.13_15:24:00.000_TAI,11432,1.058218e+22,3338.0,-0.4276743470090788,7585205530.11388,-1714.1676015599655,2488.856822153519
2012.03.14_08:12:00.000_TAI,11432,8.832354e+21,3501.7,-0.3792635865370246,6219533916.395692,-1246.4408383204643,1721.1718318470623
2012.03.16_20:36:00.000_TAI,11434,2.767229e+21,4796.4,-0.3497861779512913,2449003545.013405,-452.6523780095789,494.1466578263117
2012.04.26_08:24:00.000_TAI,11466,1.048427e+22,8158.0,-0.2301242771619505,11880002227.38783,-1444.6136759546075,1637.2586571862823
2012.05.06_14:36:00.000_TAI,11471,1.953963e+22,8061.1,-0.2703303139972662,20384987353.240368,-2911.910349177173,3162.100860979433
2013.11.19_05:48:00.000_TAI,11893,5.838539e+22,7050.1,-0.2308910746647613,67084068179.00472,-8184.634593802562,7851.027171394391
2016.04.17_23:24:00.000_TAI,12529,5.335726e+22,10905.0,-0.1396318403697127,67603099635.70239,-4987.969634038597,8164.462413182588
2015.04.12_07:12:00.000_TAI,12321,5.496303e+22,7697.3,-0.1347793971692878,68924040803.72952,-4908.705168866747,8497.554477188483
2014.07.31_13:48:00.000_TAI,12127,5.763523e+22,6186.1,-0.1219863407944595,75836635480.356,-4888.358390697125,8519.381892958676
