,name,tss,timepoint,dataset
423,SVM,0.7256046176046177,23,Coincidental Flares
424,DART,0.7596017316017315,23,Coincidental Flares
425,LDA,0.7158961038961038,23,Coincidental Flares
426,KNN,0.7037618238695962,23,Noncoincidental Flares
427,LR,0.7386936422623854,23,Noncoincidental Flares
428,RFC,0.7402921273218414,23,Noncoincidental Flares
429,SVM,0.6421440307443816,23,Noncoincidental Flares
430,DART,0.7350005105498157,23,Noncoincidental Flares
431,LDA,0.5837840095797712,23,Noncoincidental Flares
432,KNN,0.7447171288014311,24,All Flares
433,LR,0.7399019827072152,24,All Flares
434,RFC,0.7912396711815316,24,All Flares
435,SVM,0.6670039505068573,24,All Flares
436,DART,0.7904354608569725,24,All Flares
437,LDA,0.6088849135360762,24,All Flares
438,KNN,0.7251139971139973,24,Coincidental Flares
439,LR,0.7284271284271284,24,Coincidental Flares
440,RFC,0.7815815295815296,24,Coincidental Flares
441,SVM,0.7302222222222221,24,Coincidental Flares
442,DART,0.7572813852813852,24,Coincidental Flares
443,LDA,0.7184069264069264,24,Coincidental Flares
444,KNN,0.7002070047434719,24,Noncoincidental Flares
445,LR,0.7331527843530404,24,Noncoincidental Flares
446,RFC,0.7293589350859115,24,Noncoincidental Flares
447,SVM,0.6371086171526172,24,Noncoincidental Flares
448,DART,0.7350566710295469,24,Noncoincidental Flares
449,LDA,0.576084454222247,24,Noncoincidental Flares
