,FLARE_TYPE,COINCIDENCE,LABEL,ABSNJZH,AREA_ACR,MEANGAM,MEANGBH,MEANGBT,MEANGBZ,MEANJZD,MEANJZH,MEANPOT,MEANSHR,R_VALUE,SAVNCPP,SHRGT45,TOTPOT,TOTUSJH,TOTUSJZ,USFLUX,d_l_f,g_s,slf
48,M,False,1,111.99256000000003,936.9266000000002,51.211399999999976,56.96414,94.42135999999999,98.09302,0.13634948000000002,-0.0032392720000000014,10534.313999999998,43.82541999999999,4.239996,4673784000000.0,44.52606,4.826722e+23,1640.2420000000006,34016140000000.0,2.2967220000000007e+22,261.2386000000001,10365.786,15.316979999999996
49,M,False,1,436.44159999999994,1868.5919999999992,40.57751999999999,47.71486000000001,87.40364,95.53204,-0.039124011999999986,0.005116754,9097.934,34.533979999999985,4.726624,27140080000000.0,27.388680000000008,1.0365588e+24,4124.027999999999,75649660000000.0,6.181679999999999e+22,192.93019999999996,27659.38,9.83465
50,M,True,1,377.9560760000001,1380.5379999999998,40.074480000000015,48.641940000000005,83.95056000000002,98.18439999999998,-0.05490149800000002,0.0060054251399999994,7526.597999999998,33.40864,4.65312,13073596000000.0,24.189040000000006,6.201824000000001e+23,3331.108000000002,54256400000000.0,4.667001999999999e+22,220.3948,5196.306,22.381200000000007
51,M,False,1,502.4994000000001,1487.97,39.856460000000006,47.083220000000004,81.67624000000002,97.58952000000001,-0.128302366,0.007946937999999999,8188.981999999998,33.57942,4.688927999999999,17622020000000.0,24.637519999999995,6.869544000000002e+23,3472.4700000000007,53454020000000.0,4.958672e+22,205.19819999999999,8933.916,18.748820000000002
52,M,False,1,666.091,1618.9439999999997,41.342000000000006,42.21883999999999,72.47080000000003,89.34912000000003,-0.15186561,0.010363304,8866.375999999997,34.965340000000005,4.703336,22745280000000.0,27.547220000000006,7.552044e+23,3251.664,47951040000000.0,5.141553999999999e+22,205.44460000000004,12259.99,18.890160000000005
53,M,False,1,832.3516000000003,1616.8439999999996,41.848620000000004,40.71395999999999,67.00320000000002,90.11422000000002,-0.108126916,0.014549637999999998,10044.779999999999,36.069599999999994,4.558284000000001,27204600000000.0,28.807219999999997,7.629861999999998e+23,2926.888,43274660000000.0,4.493848000000001e+22,432.53479999999996,11899.977999999997,36.99428000000001
54,M,False,1,800.0460000000002,1588.1340000000005,41.8425,39.95502,65.60288000000001,88.98358,-0.13044541599999998,0.014534059999999998,10276.192,36.24636,4.522643999999999,25581940000000.0,29.09628,7.460867999999999e+23,2764.7460000000005,40874420000000.0,4.262698000000001e+22,451.2940000000001,10792.676,38.63346
55,M,True,1,65.566012,1376.9579999999999,59.379559999999984,69.12841999999998,94.76788000000005,101.7753,0.30388,0.0010908596,13599.92,50.22708000000001,4.918750000000001,7973004000000.0,57.28992000000001,9.040324000000001e+23,2986.446000000001,60840920000000.0,2.9746619999999995e+22,220.71140000000003,69992.22,9.756493999999998
56,M,False,1,74.213732,1391.5,59.18815999999999,69.69384,95.95427999999998,103.44388000000001,0.30593859999999995,0.00013244340000000005,14049.4,51.13082000000002,4.9196800000000005,8197186000000.0,57.40292000000002,9.214870000000005e+23,3002.22,60752080000000.0,2.9954699999999995e+22,223.54240000000001,67012.04,9.985465999999999
57,M,True,1,681.242,876.1924,41.43296,55.063820000000014,104.02619999999997,111.1894,0.08905159799999998,-0.020276020000000002,9015.002,35.005160000000004,4.436698000000001,28466140000000.0,27.416959999999996,4.0317e+23,1927.7379999999996,34720560000000.0,2.3583199999999993e+22,55.68274,11574.118,3.9701539999999995
58,M,False,1,347.59719999999993,966.9294000000003,41.311099999999996,40.281480000000016,75.76912,82.20406000000001,0.07999253400000002,0.006075679999999999,7446.158,32.65435999999999,4.456968,8136918000000.0,27.511520000000004,5.646534000000002e+23,2096.804,39506840000000.0,3.907275999999999e+22,231.39579999999998,3443.6020000000003,14.87058
59,M,False,1,443.6782000000001,1586.652,48.042880000000004,71.73964,121.41920000000002,127.89159999999997,0.2280761,-0.010142798000000001,7589.741999999998,39.15038,4.731229999999999,20423780000000.0,33.48588,4.414222000000001e+23,2745.448,54712660000000.0,2.680874e+22,219.04780000000002,35565.54,14.5317
60,M,True,1,421.494,1383.1559999999995,33.70178000000001,42.70554000000001,91.85045999999998,96.72160000000004,0.14042162000000002,0.005966022,3670.379999999999,26.592640000000006,4.420013999999999,17840900000000.0,13.571519999999996,3.4528259999999995e+23,2792.9960000000005,54553660000000.0,4.796909999999999e+22,233.65739999999997,6054.21,22.13348
61,M,False,1,515.5957999999999,1589.6780000000006,35.07448,44.263360000000006,94.54075999999998,98.12043999999997,0.063500738,0.0063743040000000025,3823.187999999999,28.199,4.677620000000001,19399720000000.0,15.236800000000006,4.115475999999998e+23,3270.8400000000006,64829100000000.0,5.252458000000001e+22,359.19759999999997,11748.464,27.650500000000008
